Objects
100
,,Global Angle phil_tag_0:phil_tag_0,,,,,,Global Angle phil_tag_14:phil_tag_14,,,,,,Global Angle phil_tag_16:phil_tag_16,,,,,,Global Angle phil_tag_20:phil_tag_20,,,,,,Global Angle phil_tag_24:phil_tag_24,,,,,,Global Angle phil_tag_30:phil_tag_30,,,,,,Global Angle phil_tag_32:phil_tag_32,,,,,,Global Angle phil_tag_36:phil_tag_36,,,,,,Global Angle phil_tag_40:phil_tag_40,,,,,,Global Angle phil_tag_44:phil_tag_44,,,,,,Global Angle phil_tag_4:phil_tag_4,,,,,,Global Angle phil_tag_8:phil_tag_8,,,,,,Global Angle phil_turtlebot:phil_turtlebot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
10,0,-0.0188357,0.0031105,0.00273679,921.18,-1221.74,244.495,0.000426762,0.000268446,0.000900241,-1329.58,-54.6176,125.162,0.00512308,0.0184347,0.00340933,-1296.68,454.996,219.244,-0.000331215,-0.00187822,0.002325,-1174.18,1195.61,101.466,0.00313288,-0.000616348,-0.00233473,-659.725,1901.69,116.043,0.00437871,-0.000306748,0.00507432,285.914,1891.47,185.559,0.00184632,-0.00159421,-0.0026448,951.07,1852.48,157.6,0.00165367,0.00107664,0.00266688,1657.58,1145.08,127.086,-0.00272586,-0.00334143,-0.00353589,1598.31,272.975,141.388,0.00230971,0.00346427,0.00423887,1462.61,-696.761,160.307,0.00129061,0.000821248,0.000771982,96.5957,-1065.51,194.274,-0.00379637,0.00362445,0.000750736,-887.722,-883.669,141.489,-0.0302895,0.0103969,2.79275,1065.97,605.65,472.121
11,0,-0.0188791,0.00317129,0.00291061,921.167,-1221.74,244.47,0.00039357,0.000318636,0.0010458,-1329.6,-54.6032,125.15,0.00546486,0.018405,0.00369241,-1296.7,454.959,219.254,-0.000237133,-0.0019738,0.0023801,-1174.18,1195.63,101.431,0.00303152,-0.000251851,-0.00211877,-659.777,1901.71,116.02,0.0046167,-9.91601e-005,0.00522394,285.868,1891.49,185.524,0.00190538,-0.00170382,-0.00308843,951.055,1852.51,157.569,0.000658541,0.000836854,0.00283423,1657.55,1145.23,127.086,-0.00263314,-0.00343637,-0.00345094,1598.3,272.997,141.336,0.00246084,0.00323444,0.00414454,1462.59,-696.731,160.25,0.00134873,0.000870163,0.000679501,96.5654,-1065.51,194.208,-0.00377887,0.00376438,0.000823804,-887.785,-883.699,141.402,-0.0302387,0.010451,2.79281,1065.95,605.698,472.092
12,0,-0.0185967,0.00309491,0.00275683,921.137,-1221.74,244.424,0.000462673,0.000353176,0.00096684,-1329.59,-54.6227,125.161,0.00522206,0.0182995,0.00340133,-1296.62,454.957,219.26,-0.000248194,-0.00193301,0.00242392,-1174.17,1195.63,101.441,0.0031196,-0.000387748,-0.00225156,-659.795,1901.7,116.009,0.00434463,2.87834e-005,0.00518175,285.801,1891.46,185.438,0.00190766,-0.00145529,-0.00235357,951.047,1852.49,157.577,0.000548389,0.000388091,0.00226791,1657.53,1145.19,127.085,-0.00298682,-0.00345511,-0.00358264,1598.31,272.996,141.335,0.00239411,0.00343737,0.00435473,1462.58,-696.742,160.284,0.00125211,0.00101342,0.000685146,96.5302,-1065.54,194.168,-0.00376757,0.00372472,0.000661424,-887.813,-883.729,141.415,-0.0303571,0.0106352,2.79286,1065.93,605.709,472.087
13,0,-0.0185991,0.00326329,0.00273234,921.161,-1221.73,244.439,0.000391997,0.000456601,0.00106292,-1329.59,-54.6473,125.169,0.00525305,0.018437,0.00386603,-1296.69,454.94,219.27,-0.000293537,-0.00199789,0.0024407,-1174.17,1195.63,101.434,0.00264034,-0.00131323,-0.00225964,-659.918,1901.73,116.115,0.00422637,-0.000140753,0.00518786,285.856,1891.45,185.488,0.00166266,-0.00147139,-0.00246021,951.054,1852.47,157.618,0.00176709,0.000664014,0.00216881,1657.62,1145.08,127.096,-0.00285328,-0.00343077,-0.00351898,1598.31,273.003,141.354,0.00235352,0.00340608,0.00425729,1462.6,-696.729,160.299,0.0012785,0.000900979,0.000753907,96.5946,-1065.52,194.214,-0.00367958,0.00373355,0.000688156,-887.749,-883.712,141.421,-0.0303763,0.0105023,2.79269,1065.94,605.708,472.097
14,0,-0.0188601,0.00308214,0.00281253,921.182,-1221.75,244.491,0.000515697,0.000183292,0.0007246,-1329.57,-54.5988,125.146,0.00545065,0.018432,0.00367563,-1296.72,454.966,219.257,-0.000469645,-0.00187725,0.00237485,-1174.16,1195.66,101.457,0.00296845,-0.000511966,-0.00222341,-659.749,1901.69,116.053,0.00408807,-0.000165703,0.00523187,285.865,1891.44,185.494,0.00182066,-0.00177675,-0.00293023,951.062,1852.49,157.602,0.000481139,0.000271248,0.00233212,1657.59,1145.24,127.101,-0.00274521,-0.00342949,-0.00341695,1598.3,273.025,141.355,0.00256677,0.00317098,0.0041943,1462.6,-696.738,160.279,0.00126697,0.000913879,0.000731622,96.6003,-1065.53,194.251,-0.00373856,0.00365969,0.000746968,-887.718,-883.698,141.443,-0.0303696,0.0106835,2.79275,1065.95,605.709,472.104
15,0,-0.0188136,0.00301594,0.00271192,921.144,-1221.77,244.48,0.000347244,0.000796542,0.00122368,-1329.57,-54.6786,125.208,0.00491273,0.0182592,0.00375417,-1296.66,454.965,219.238,-0.000414802,-0.00187007,0.00245827,-1174.18,1195.6,101.461,0.00291605,-0.000334198,-0.0020528,-659.814,1901.69,116.007,0.00440184,-0.000239343,0.00356,285.993,1891.36,185.581,0.00168801,-0.0014314,-0.00261037,951.065,1852.49,157.56,0.00060392,-4.15767e-005,0.00198289,1657.61,1145.22,127.099,-0.00287714,-0.00349607,-0.00351876,1598.3,272.978,141.364,0.00245873,0.0033529,0.00420813,1462.59,-696.781,160.287,0.00119619,0.000905911,0.000841973,96.5276,-1065.53,194.237,-0.00371158,0.00374347,0.000705018,-887.799,-883.691,141.46,-0.0302648,0.0105164,2.79277,1065.95,605.694,472.101
16,0,-0.0187447,0.0030255,0.0027268,921.146,-1221.76,244.482,0.000400188,0.00020025,0.000915856,-1329.59,-54.6413,125.175,0.00537138,0.0185263,0.003667,-1296.7,454.948,219.273,-0.000406579,-0.00189216,0.00247356,-1174.18,1195.63,101.454,0.00252951,-0.00115182,-0.00226255,-659.893,1901.74,116.107,0.00447019,-0.000211525,0.0052838,285.873,1891.47,185.529,0.00166335,-0.00166053,-0.00268503,951.043,1852.47,157.59,0.00144371,0.000179763,0.00157621,1657.64,1145.11,127.071,-0.00275236,-0.00340984,-0.00365615,1598.32,272.968,141.371,0.00242664,0.00342461,0.00431437,1462.6,-696.772,160.288,0.00126168,0.000887109,0.00074138,96.5755,-1065.52,194.25,-0.00369365,0.00375269,0.000829249,-887.763,-883.688,141.448,-0.030238,0.0105284,2.79292,1065.94,605.691,472.098
17,0,-0.0187799,0.00323184,0.00278832,921.158,-1221.74,244.45,0.000333241,0.00138621,0.0018037,-1329.49,-54.6854,125.193,0.0054265,0.0181987,0.00375351,-1296.7,454.958,219.237,-0.000314193,-0.00208582,0.00231197,-1174.16,1195.68,101.426,0.00298173,-0.000422919,-0.00217383,-659.75,1901.71,116.005,0.00432403,-0.000261022,0.00523427,285.872,1891.46,185.485,0.00210753,-0.00180902,-0.00311957,951.065,1852.51,157.568,0.0013728,0.000390617,0.00202872,1657.62,1145.1,127.063,-0.00269473,-0.00328391,-0.00350914,1598.28,273.032,141.314,0.00235771,0.0031907,0.00411408,1462.61,-696.738,160.222,0.0012714,0.000864084,0.000707712,96.56,-1065.51,194.172,-0.00364689,0.00382937,0.000725994,-887.752,-883.679,141.405,-0.03045,0.0108361,2.79283,1065.95,605.709,472.071
18,0,-0.0187003,0.00316411,0.00272987,921.112,-1221.74,244.413,0.00103977,0.00011485,-0.000611253,-1329.46,-54.6556,125.157,0.00523569,0.0181911,0.00394953,-1296.67,454.941,219.258,-0.00024369,-0.00198747,0.00237884,-1174.16,1195.65,101.444,0.00301437,-0.000344919,-0.00196584,-659.792,1901.7,115.986,0.00461189,1.31989e-005,0.00552794,285.829,1891.5,185.425,0.00185695,-0.00152464,-0.00282753,951.042,1852.48,157.545,0.000676855,0.000491806,0.00251281,1657.58,1145.21,127.054,-0.00283616,-0.00346921,-0.00340346,1598.3,273.01,141.298,0.00244282,0.00336651,0.00418498,1462.6,-696.746,160.239,0.00115068,0.0010468,0.000793875,96.5095,-1065.52,194.176,-0.00360481,0.00380031,0.000596673,-887.795,-883.693,141.416,-0.0303493,0.0107015,2.79282,1065.95,605.665,472.08
19,0,-0.0187814,0.00294138,0.00267014,921.143,-1221.74,244.468,0.000944573,0.000297192,-0.000382158,-1329.45,-54.7311,125.232,0.00535609,0.0186008,0.00361048,-1296.69,454.921,219.294,-0.000349527,-0.00188615,0.00242676,-1174.19,1195.6,101.468,0.00306389,-0.000460484,-0.00210295,-659.797,1901.68,116.024,0.00425073,-0.000179157,0.00542193,285.858,1891.46,185.471,0.00175185,-0.00154548,-0.00251806,951.032,1852.45,157.61,0.000492944,0.000367743,0.00208097,1657.55,1145.15,127.097,-0.00282581,-0.00346451,-0.0035827,1598.3,272.962,141.364,0.00234911,0.00360657,0.00436503,1462.58,-696.783,160.303,0.00123505,0.000895315,0.000675154,96.5394,-1065.53,194.225,-0.0031953,0.00452402,0.000854713,-887.671,-883.721,141.263,-0.0303268,0.0102795,2.79275,1065.95,605.604,472.116
