Objects
100
,,Global Angle phil_tag_0:phil_tag_0,,,,,,Global Angle phil_tag_14:phil_tag_14,,,,,,Global Angle phil_tag_16:phil_tag_16,,,,,,Global Angle phil_tag_20:phil_tag_20,,,,,,Global Angle phil_tag_24:phil_tag_24,,,,,,Global Angle phil_tag_30:phil_tag_30,,,,,,Global Angle phil_tag_32:phil_tag_32,,,,,,Global Angle phil_tag_36:phil_tag_36,,,,,,Global Angle phil_tag_40:phil_tag_40,,,,,,Global Angle phil_tag_44:phil_tag_44,,,,,,Global Angle phil_tag_4:phil_tag_4,,,,,,Global Angle phil_tag_8:phil_tag_8,,,,,,Global Angle phil_turtlebot:phil_turtlebot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.017026,0.00611174,0.00444253,921.356,-1222.15,244.659,0.000884483,0.00201831,0.0012516,-1329.61,-54.483,125.194,,,,,,,-0.000399201,-0.00491434,0.00138878,-1174.25,1195.99,101.5,0.000847769,-0.000307734,-0.00107763,-659.892,1901.59,116.275,0.00377598,0.000135739,0.00524464,285.877,1891.44,185.569,0.00156697,-0.0013204,-0.00207196,951.148,1852.55,157.636,9.49386e-005,0.000596345,0.00166441,1657.01,1146.08,127.318,-0.00229788,0.000434564,-0.00444878,1598.67,272.885,141.182,0.00248071,0.00294476,0.00366834,1462.86,-696.69,160.295,-0.00703886,0.000608442,-0.000491778,96.6837,-1066.08,193.877,-0.00368657,0.00389068,0.000725412,-887.751,-883.716,141.486,-0.0314258,0.0543492,2.63428,-710.888,525.585,447.057
2,0,-0.0168311,0.00575484,0.00450927,921.15,-1222.13,244.57,0.000998321,0.00206427,0.00108771,-1329.64,-54.4392,125.118,,,,,,,0.00116692,-0.0033606,0.00160294,-1174.25,1195.85,101.368,0.00293817,-0.000196675,-0.00197192,-659.76,1901.71,116.022,0.00384255,-6.26704e-005,0.00386591,285.965,1891.37,185.614,0.0017351,-0.00147268,-0.00263329,951.178,1852.62,157.543,0.000789026,0.000929275,0.001838,1656.98,1146.19,127.209,-0.00220667,0.000648749,-0.00437415,1598.65,272.93,141.109,0.00222245,0.00306425,0.00372378,1462.85,-696.63,160.134,-0.00673411,0.00140006,-0.000100192,96.6043,-1066.05,193.901,-0.00364952,0.00408062,0.00059509,-887.791,-883.692,141.417,-0.0313956,0.0544737,2.63428,-710.881,525.608,447.021
3,0,-0.0169861,0.00609496,0.00451512,921.351,-1222.16,244.657,0.000981804,0.00196816,0.00127831,-1329.61,-54.4787,125.169,,,,,,,0.000631812,-0.00438721,0.00241482,-1174.16,1195.78,101.388,0.0031874,-0.000472112,-0.00236114,-659.741,1901.7,116.079,0.00373848,2.1063e-005,0.00525602,285.885,1891.45,185.577,0.00164805,-0.00163323,-0.00248973,951.179,1852.58,157.613,0.000626834,0.000935481,0.0016094,1657.05,1146,127.288,-0.0021801,0.000527933,-0.00435479,1598.66,272.913,141.164,0.0025935,0.00280681,0.00348298,1462.86,-696.758,160.37,-0.00687585,0.000770951,-0.000442636,96.7033,-1066.06,193.855,-0.00383106,0.00387027,0.000741573,-887.725,-883.716,141.495,-0.0314376,0.054362,2.63438,-710.873,525.589,447.055
4,0,-0.0170524,0.00593619,0.00452012,921.345,-1222.16,244.656,0.000959306,0.0021202,0.0012353,-1329.61,-54.4826,125.201,,,,,,,0.000621369,-0.00456495,0.00257309,-1174.18,1195.75,101.413,0.00326759,-0.000657235,-0.00233375,-659.726,1901.69,116.09,0.00360291,-0.000268338,0.00374804,286.049,1891.33,185.658,0.00153315,-0.0014892,-0.00211323,951.123,1852.52,157.672,0.000561341,0.000757057,0.00147627,1657.03,1145.95,127.344,-0.00223802,0.000398048,-0.0042909,1598.67,272.875,141.242,0.00266026,0.00282473,0.00339106,1462.87,-696.777,160.427,-0.00672792,0.000569684,-0.00032577,96.7154,-1066.06,193.938,-0.00306512,0.0103472,0.000497359,-886.456,-883.882,141.876,-0.031408,0.0545128,2.63428,-710.882,525.579,447.081
5,0,-0.017095,0.00620365,0.00438282,921.343,-1222.16,244.668,0.000857333,0.002054,0.00132938,-1329.63,-54.4974,125.191,,,,,,,0.000592351,-0.00116774,0.00235596,-1174.06,1195.86,101.492,0.00266029,-0.00106488,-0.0022071,-659.899,1901.75,116.102,0.00415273,-5.00463e-005,0.0038784,285.987,1891.39,185.628,0.00163578,-0.001465,-0.00240546,951.149,1852.59,157.574,0.00013824,0.000699995,0.00176942,1656.99,1146.08,127.305,-0.00227972,0.000504695,-0.00435944,1598.65,272.885,141.174,0.00240233,0.00293401,0.00354682,1462.84,-696.727,160.3,-0.00716753,0.000799271,-0.000422167,96.6788,-1066.09,193.9,-0.0033201,0.00939322,2.70306e-005,-886.662,-883.877,142.015,-0.0314719,0.0546119,2.63416,-710.889,525.579,447.051
6,0,-0.0170294,0.00609109,0.00431618,921.359,-1222.14,244.673,0.00103556,0.00184443,0.00112347,-1329.61,-54.4665,125.155,,,,,,,0.000172612,-0.00245128,0.0030156,-1173.98,1195.86,101.51,0.00307673,-0.000479109,-0.00225032,-659.73,1901.69,116.076,0.00378063,-0.00011599,0.00401466,286.009,1891.35,185.639,0.00149062,-0.00155189,-0.00236538,951.159,1852.58,157.617,0.000589084,0.000883544,0.00170067,1657.04,1146.01,127.303,-0.00217693,0.000467772,-0.00426979,1598.66,272.913,141.192,0.00234553,0.0028452,0.00341461,1462.86,-696.7,160.278,0.000759485,0.000828222,0.00104954,96.5646,-1065.43,194.21,-0.00330844,0.00928142,0.000344863,-886.647,-883.864,142.004,-0.0314216,0.0540048,2.63432,-710.886,525.59,447.059
7,0,-0.0169945,0.00612874,0.00444971,921.364,-1222.14,244.679,0.00113183,0.00195567,0.000995824,-1329.63,-54.4424,125.138,0.00591344,0.0147915,0.00182686,-1297.59,455.125,218.745,0.000166236,-0.00239951,0.00316945,-1173.98,1195.86,101.485,0.00312144,-0.000597413,-0.00226991,-659.701,1901.7,116.081,0.00419693,8.73891e-005,0.00524777,285.902,1891.48,185.606,0.0017133,-0.00152,-0.0022247,951.143,1852.56,157.623,0.000114041,0.000457502,0.0016664,1657.02,1146.11,127.281,-0.00219746,0.000530541,-0.00442382,1598.67,272.908,141.161,0.0024255,0.00305623,0.00363753,1462.86,-696.694,160.27,0.000709968,0.000797153,0.00106577,96.5958,-1065.43,194.205,-0.00336876,0.00944115,0.000261991,-886.601,-883.87,141.974,-0.0314535,0.0544618,2.63427,-710.885,525.596,447.051
8,0,-0.0170222,0.00581852,0.00460474,921.317,-1222.17,244.624,0.000991821,0.00178159,0.00117023,-1329.63,-54.442,125.131,0.00610253,0.0145175,0.00335613,-1297.71,454.936,218.772,0.000667706,-0.0043822,0.00241006,-1174.15,1195.81,101.385,0.00257245,-0.0010243,-0.00202753,-659.895,1901.74,116.116,0.00402199,-0.000127908,0.00363397,285.996,1891.36,185.643,0.0019082,-0.0014979,-0.00236453,951.154,1852.59,157.546,0.000174066,0.000669055,0.0018869,1656.99,1146.13,127.25,-0.002295,0.000553086,-0.00430682,1598.66,272.915,141.127,0.0022382,0.00311903,0.00379249,1462.85,-696.653,160.159,0.000741334,0.000579403,0.000866378,96.5831,-1065.4,194.082,-0.00325077,0.00940057,0.000251533,-886.648,-883.87,141.985,-0.0315081,0.0543037,2.63421,-710.893,525.593,447.022
9,0,-0.0166742,0.00400213,0.00424815,921.137,-1222.17,244.414,0.00094302,0.00211271,0.00134953,-1329.59,-54.4819,125.219,0.00600885,0.0151254,0.00352214,-1297.75,454.905,218.835,0.00069736,-0.0044428,0.00266761,-1174.18,1195.75,101.421,0.00313455,-0.000544764,-0.00217934,-659.736,1901.68,116.073,0.00377492,9.69435e-006,0.00526779,285.874,1891.45,185.565,0.00170859,-0.0014378,-0.00219688,951.164,1852.55,157.608,-9.551e-006,0.000462995,0.00163781,1657,1146.07,127.33,-0.00207972,0.000496786,-0.00429367,1598.66,272.871,141.204,0.00238444,0.00294264,0.00347899,1462.85,-696.728,160.328,0.000745285,0.000892178,0.00111475,96.5607,-1065.44,194.263,-0.00290512,0.010413,0.000626321,-886.501,-883.853,141.882,-0.031627,0.0541552,2.63415,-710.907,525.578,447.079
