left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245016,1512260197.744518
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245121,1512260197.844702
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245211,1512260197.944879
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245316,1512260198.045028
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245421,1512260198.145200
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245511,1512260198.245346
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245616,1512260198.345518
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245721,1512260198.445696
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245811,1512260198.545873
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1245916,1512260198.646053
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246021,1512260198.746232
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246111,1512260198.846358
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246216,1512260198.946470
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246321,1512260199.046642
24900,42705,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246411,1512260199.146822
24914,42831,0,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246516,1512260199.246949
24968,43069,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246621,1512260199.347116
25024,43445,0,37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246711,1512260199.447258
25065,43753,0,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246816,1512260199.547419
25140,44339,0,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1246921,1512260199.647595
25205,44781,0,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247011,1512260199.747721
25339,45457,0,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247116,1512260199.847858
25470,45925,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247221,1512260199.947987
25726,46646,0,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247311,1512260200.048115
25937,47118,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247416,1512260200.148234
26298,47844,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247521,1512260200.248329
26536,48326,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247611,1512260200.348455
26895,49065,0,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247717,1512260200.448592
27137,49560,0,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247822,1512260200.548732
27501,50319,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1247912,1512260200.648872
27744,50819,0,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248017,1512260200.749016
28110,51567,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248122,1512260200.849157
28349,52074,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248212,1512260200.949298
28720,52836,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248317,1512260201.049422
28963,53345,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248422,1512260201.149530
29326,54105,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248512,1512260201.249633
29510,54495,0,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248617,1512260201.349750
29872,55294,0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248722,1512260201.449904
30237,56080,0,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248827,1512260201.550046
30423,56477,0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248917,1512260201.650222
30788,57258,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249022,1512260201.750394
31158,58022,0,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249127,1512260201.850538
31345,58404,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249217,1512260201.950717
31714,59164,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249322,1512260202.050900
32085,59922,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249428,1512260202.151044
32267,60309,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249517,1512260202.251165
32631,61082,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249622,1512260202.352220
33005,61841,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249728,1512260202.452397
33250,62354,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249817,1512260202.552569
33621,63153,0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1249922,1512260202.652742
33925,63812,0,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1250028,1512260202.752916
34229,64461,0,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1250117,1512260202.853091
