accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
0,0,0,0,0,0,0
-0.0620728,-0.110107,1.01929,-0.305176,-0.0610352,-0.0610352,0
-0.0620728,-0.110107,1.01929,-0.305176,-0.0610352,-0.0610352,0
-0.0617676,-0.109009,1.01782,-0.0610352,-0.305176,0.12207,0
-0.0608521,-0.110901,1.02344,-0.12207,0.0610352,0.0610352,0
-0.0608521,-0.110901,1.02344,-0.12207,0.0610352,0.0610352,0
-0.0603027,-0.112,1.02332,-0.0610352,-0.244141,0.183105,0
-0.0626221,-0.104736,1.01721,0.0610352,-0.12207,0.0610352,0
-0.0626221,-0.104736,1.01721,0.0610352,-0.12207,0.0610352,0
-0.0603027,-0.107666,1.02039,-0.305176,-0.12207,0.0610352,0
-0.0617676,-0.107483,1.02094,-0.12207,-0.305176,0.0610352,0
-0.0617676,-0.107483,1.02094,-0.12207,-0.305176,0.0610352,0
-0.0576782,-0.108826,1.01843,-0.0610352,-0.183105,0.0610352,0
-0.059082,-0.106934,1.02112,-0.183105,-0.12207,0,0
-0.0588989,-0.10791,1.02563,-0.12207,-0.0610352,0.0610352,0
-0.0588989,-0.10791,1.02563,-0.12207,-0.0610352,0.0610352,0
-0.0599365,-0.110535,1.02191,-0.0610352,-0.183105,0.12207,0
-0.0633545,-0.10614,1.02142,-0.0610352,-0.183105,0.0610352,0
-0.0633545,-0.10614,1.02142,-0.0610352,-0.183105,0.0610352,0
-0.0601196,-0.10376,1.02313,-0.183105,-0.244141,0.0610352,0
-0.0574341,-0.111023,1.01593,0,0,0.183105,0
-0.0574341,-0.111023,1.01593,0,0,0.183105,0
-0.0632324,-0.107422,1.01886,0,-0.12207,0,0
-0.057251,-0.107361,1.02032,-0.12207,-0.12207,0.183105,0
-0.057251,-0.107361,1.02032,-0.12207,-0.12207,0.183105,0
-0.0614014,-0.109985,1.02008,-0.0610352,-0.244141,0.12207,0
-0.0594482,-0.109863,1.0213,-0.12207,-0.0610352,0,0
-0.0594482,-0.109863,1.0213,-0.12207,-0.0610352,0,0
-0.0616455,-0.108765,1.01807,-0.12207,-0.183105,0.0610352,0
-0.0584106,-0.11084,1.02539,-0.12207,-0.366211,0,0
-0.0584106,-0.11084,1.02539,-0.12207,-0.366211,0,0
-0.0613403,-0.108948,1.02435,-0.183105,0,0,0
-0.0593262,-0.111145,1.02429,-0.0610352,-0.183105,0.12207,0
-0.0593262,-0.111145,1.02429,-0.0610352,-0.183105,0.12207,0
-0.0609131,-0.10675,1.02112,-0.12207,-0.12207,-0.0610352,0
-0.062439,-0.11322,1.02533,-0.0610352,-0.0610352,0.0610352,0
-0.0617676,-0.108337,1.02563,-0.12207,-0.12207,0.0610352,0
-0.0617676,-0.108337,1.02563,-0.12207,-0.12207,0.0610352,0
-0.0593262,-0.108643,1.02399,-0.183105,-0.0610352,0.244141,0
-0.0601807,-0.107483,1.01294,0.0610352,-0.244141,0.183105,0
-0.0601807,-0.107483,1.01294,0.0610352,-0.244141,0.183105,0
-0.0593262,-0.108704,1.02063,-0.183105,-0.12207,0.12207,0
-0.0585938,-0.108765,1.02606,-0.244141,-0.0610352,0.183105,0
-0.0585938,-0.108765,1.02606,-0.244141,-0.0610352,0.183105,0
-0.0600586,-0.110046,1.01709,0.0610352,-0.244141,0.12207,0
-0.0595093,-0.109253,1.02014,-0.12207,0,0,0
-0.0595093,-0.109253,1.02014,-0.12207,0,0,0
-0.0599365,-0.108521,1.01599,-0.305176,-0.0610352,0.12207,0
-0.0626831,-0.106934,1.01666,0.12207,-0.366211,0.12207,0
-0.0626831,-0.106934,1.01666,0.12207,-0.366211,0.12207,0
-0.0584717,-0.107788,1.0235,-0.12207,-0.0610352,0.0610352,0
-0.0581055,-0.112488,1.01941,-0.12207,-0.12207,0.0610352,0
-0.0581055,-0.112488,1.01941,-0.12207,-0.12207,0.0610352,0
-0.0570679,-0.107544,1.02313,-0.12207,0,0.0610352,0
-0.0623169,-0.110352,1.02167,0,0,0.0610352,0
-0.0623169,-0.110352,1.02167,0,0,0.0610352,0
-0.0592651,-0.110413,1.02222,-0.12207,-0.0610352,0.0610352,0
-0.0581055,-0.111145,1.01624,-0.12207,-0.12207,0.0610352,0
-0.0591431,-0.109375,1.01941,-0.0610352,-0.244141,0.0610352,0
-0.0591431,-0.109375,1.01941,-0.0610352,-0.244141,0.0610352,0
-0.0598755,-0.110291,1.02191,-0.244141,-0.183105,0.12207,0
-0.0634155,-0.108582,1.01581,-0.0610352,-0.0610352,0.12207,0
-0.0634155,-0.108582,1.01581,-0.0610352,-0.0610352,0.12207,0
-0.0639038,-0.109131,1.02441,-0.0610352,-0.183105,0,0
-0.0598145,-0.108276,1.0235,-0.12207,0.0610352,0.0610352,0
-0.0598145,-0.108276,1.0235,-0.12207,0.0610352,0.0610352,0
-0.060791,-0.105896,1.01874,-0.0610352,-0.244141,0,0
-0.0599976,-0.110291,1.01892,-0.0610352,-0.183105,0.183105,0
-0.0599976,-0.110291,1.01892,-0.0610352,-0.183105,0.183105,0
-0.0593872,-0.109436,1.021,-0.0610352,-0.183105,0.12207,0
-0.0594482,-0.107666,1.02338,-0.0610352,-0.183105,0.0610352,0
-0.0594482,-0.107666,1.02338,-0.0610352,-0.183105,0.0610352,0
-0.0570068,-0.109009,1.02191,-0.12207,-0.183105,0.12207,0
-0.0581665,-0.110474,1.01959,-0.0610352,-0.12207,0.12207,0
-0.0581665,-0.110474,1.01959,-0.0610352,-0.12207,0.12207,0
-0.0604248,-0.112549,1.02557,-0.305176,0,0,0
-0.0609741,-0.111389,1.01855,-0.0610352,0,0.12207,0
-0.0609741,-0.111389,1.01855,-0.0610352,0,0.12207,0
-0.0635986,-0.106628,1.01526,0,-0.244141,-0.0610352,0
-0.0628052,-0.107605,1.01904,-0.244141,0,-0.0610352,0
-0.0628052,-0.107605,1.01904,-0.244141,0,-0.0610352,0
-0.0591431,-0.114807,1.01471,-0.305176,-0.12207,0.0610352,0
-0.0599976,-0.108643,1.02191,-0.0610352,-0.305176,-0.0610352,0
-0.0599976,-0.108643,1.02191,-0.0610352,-0.305176,-0.0610352,0
-0.0567017,-0.109619,1.02881,-0.305176,-0.12207,0.183105,0
-0.0553589,-0.110352,1.01544,-0.0610352,-0.183105,0.0610352,0
-0.0553589,-0.110352,1.01544,-0.0610352,-0.183105,0.0610352,0
-0.0588379,-0.106812,1.0213,-0.12207,-0.183105,0.12207,0
-0.0584106,-0.110962,1.02246,-0.244141,-0.0610352,0,0
-0.0639648,-0.110596,1.01874,0,-0.183105,0.0610352,0
-0.0639648,-0.110596,1.01874,0,-0.183105,0.0610352,0
-0.0567627,-0.117188,1.02094,0,0,0.0610352,0
-0.0574341,-0.10791,1.01996,0,-0.244141,0,0
-0.0574341,-0.10791,1.01996,0,-0.244141,0,0
-0.0526733,-0.104431,1.0177,-0.12207,-0.12207,0.12207,0
-0.0552979,-0.103271,1.02936,-0.183105,0,-0.0610352,0
-0.0552979,-0.103271,1.02936,-0.183105,0,-0.0610352,0
-0.0634766,-0.0933838,1.0199,0.0610352,-0.244141,0.0610352,0
-0.0640869,-0.10376,1.02344,-0.183105,-0.0610352,0,0
