x,y,z
-1007.34,-1006.89,153.26,,,,
-1128.2,-878.16,293.64,,,,
Objects
100
,,Global Angle PHIL_ROBOT_01:PHIL_ROBOT_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
91,0,0.0178054,0.00578242,3.29654,124.451,393.114,96.6275
92,0,0.020699,0.00316281,3.29715,124.58,391.527,96.6607
93,0,0.020439,0.00322453,3.29533,124.664,389.946,96.7176
94,0,0.0217652,0.00620886,3.29644,124.764,388.291,96.7378
95,0,0.0186891,0.00562197,3.29628,124.888,386.5,96.7339
96,0,0.0219257,0.00749019,3.29649,124.998,384.608,96.7271
97,0,0.0219257,0.00728728,3.29591,125.131,382.689,96.8655
98,0,0.0234616,0.00703415,3.2952,125.331,380.651,96.7704
99,0,0.0236347,0.00552955,3.29542,125.381,378.392,96.8335
100,0,0.0224162,0.00519705,3.2963,125.532,376.11,96.7574
101,0,0.0245103,0.00648906,3.29639,125.779,373.645,96.8604
102,0,0.0217914,0.00387655,3.29632,125.975,371.076,96.9706
103,0,0.0259972,0.0029807,3.2973,126.072,368.452,96.7978
104,0,0.0209821,0.00602063,3.29527,126.304,365.745,96.8336
105,0,0.0224618,0.00360999,3.29544,126.593,362.775,96.9566
106,0,0.0237606,0.00503818,3.29602,126.78,359.89,96.8824
107,0,0.0228948,0.00626474,3.29504,127.037,356.861,96.8619
108,0,0.0237462,0.00760736,3.29494,127.306,353.706,96.9914
109,0,0.0230272,0.00711423,3.29477,127.394,350.348,96.8788
110,0,0.0266706,0.00716197,3.2945,127.716,347.045,97.0874
111,0,0.0363853,0.000441233,3.29589,128.092,343.626,97.1512
112,0,0.0386833,0.00104369,3.29644,128.224,340.067,97.2062
113,0,0.0365829,0.000481926,3.2965,128.478,336.584,97.2937
114,0,0.0381777,0.00279483,3.29562,128.771,332.944,97.1464
115,0,0.0369223,0.000555289,3.29549,129.108,329.131,97.2406
116,0,0.0350201,0.00340929,3.29522,129.332,325.357,97.2334
117,0,0.0390974,0.00708403,3.29507,129.624,321.439,97.3352
118,0,0.0337765,0.0042351,3.2948,129.834,317.528,97.2823
119,0,0.0384021,0.00433011,3.29516,130.138,313.568,97.3423
120,0,0.0342483,0.00146609,3.29468,130.375,309.583,97.3204
121,0,0.03515,0.00335156,3.29542,130.734,305.557,97.2755
122,0,0.0371178,0.0022385,3.29617,130.989,301.415,97.3718
123,0,0.0351417,0.00212583,3.29389,131.225,297.326,97.3096
124,0,0.0367479,0.00696563,3.29378,131.515,293.064,97.4062
125,0,0.038654,0.00655229,3.29529,131.784,288.792,97.3638
126,0,0.025438,0.00846917,3.29653,131.986,284.49,97.2176
127,0,0.0255694,0.00847716,3.29663,132.242,280.179,97.1376
128,0,0.0287796,0.00941442,3.2959,132.534,275.744,97.2105
129,0,0.0281716,0.00816398,3.29774,132.896,271.334,97.1173
130,0,0.026879,0.00618964,3.29773,133.198,266.802,97.0566
131,0,0.0265692,0.0089369,3.29625,133.525,262.419,97.0669
132,0,0.0302173,0.0101448,3.29693,133.891,257.9,97.1521
133,0,0.0275133,0.00758457,3.29599,134.212,253.342,97.0425
134,0,0.0300242,0.00734664,3.29708,134.671,248.799,97.126
135,0,0.0281158,0.0104957,3.29558,134.887,244.316,97.0488
136,0,0.0262162,0.0104637,3.29674,135.286,239.618,97.1457
137,0,0.0261718,0.00956027,3.29745,135.564,235.029,97.0478
138,0,0.0273372,0.00831225,3.29763,135.887,230.332,97.0935
139,0,0.0297153,0.00897089,3.29712,136.191,225.642,97.1523
140,0,0.0302928,0.0116688,3.29755,136.511,221.02,97.1856
141,0,0.0414968,0.0030811,3.29659,137.022,216.301,97.2726
142,0,0.0405371,0.00352789,3.29745,137.349,211.545,97.2334
143,0,0.0376034,0.00417957,3.29625,137.637,206.797,97.1981
144,0,0.038125,0.00658047,3.29682,137.969,202.077,97.1749
145,0,0.040075,0.00693961,3.29723,138.307,197.321,97.2049
146,0,0.0422828,0.00726312,3.29749,138.6,192.576,97.2306
147,0,0.0440149,-0.00050163,3.29893,139.058,187.85,97.1114
148,0,0.0438357,-0.000281353,3.29867,139.432,182.979,97.0771
149,0,0.0421387,0.00143578,3.29898,139.739,178.209,97.1626
150,0,0.0395892,0.00482464,3.29776,139.999,173.465,97.2286
151,0,0.039956,0.00330138,3.29784,140.409,168.653,97.1855
152,0,0.0413309,0.00661619,3.29808,140.706,163.821,97.2565
153,0,0.0421126,0.00121225,3.2988,141.14,159.079,97.1927
154,0,0.0446416,0.00136664,3.2992,141.506,154.327,97.2096
155,0,0.0431691,0.00202465,3.29759,141.763,149.575,97.2351
156,0,0.0436261,0.00714949,3.29847,142.148,144.772,97.3162
157,0,0.0444531,0.00516746,3.29902,142.457,140.03,97.2875
158,0,0.0428031,0.00195424,3.29783,142.837,135.215,97.2768
159,0,0.0283714,0.00514759,3.29894,143.002,130.395,97.0698
160,0,0.0285549,0.00596686,3.29951,143.374,125.684,96.9487
161,0,0.0290939,0.00761204,3.29901,143.713,120.985,96.9958
162,0,0.028699,0.00973632,3.29914,144.107,116.157,97.0361
163,0,0.0259482,0.0082422,3.29808,144.469,111.409,97.0547
164,0,0.0285895,0.00814033,3.29922,144.84,106.756,97.0165
165,0,0.0316052,0.00991469,3.30018,145.231,101.974,97.0508
166,0,0.0487322,0.00415134,3.2977,145.684,97.2886,97.2543
167,0,0.0327679,0.00804805,3.29974,145.927,92.6364,97.1131
168,0,0.0309315,0.0082639,3.30139,146.285,87.859,97.1196
169,0,0.0292126,0.0104599,3.30021,146.607,83.1978,97.1419
170,0,0.0281919,0.0101171,3.29913,146.932,78.5738,97.2294
171,0,0.0306582,0.00687309,3.29898,147.242,74.0022,97.2518
172,0,0.0281376,0.00888776,3.29962,147.58,69.3634,97.1702
173,0,0.0273031,0.00936907,3.2995,147.973,64.7684,97.1346
174,0,0.0441113,0.00421354,3.29849,148.36,60.1911,97.3788
175,0,0.031574,0.00960045,3.30019,148.577,55.6987,97.1906
176,0,0.0319052,0.0101527,3.3004,148.945,51.1803,97.2391
177,0,0.0324225,0.0093909,3.30061,149.322,46.6017,97.3084
178,0,0.0278224,0.0126579,3.29964,149.659,41.9818,97.1638
179,0,0.0313042,0.00938319,3.29957,149.918,37.4643,97.1288
180,0,0.0327451,0.01143,3.29995,150.339,32.9823,97.1513
181,0,0.0485606,0.00462527,3.30015,150.871,28.4896,97.3772
182,0,0.047173,0.00365944,3.29924,151.181,23.9666,97.4465
183,0,0.0472643,0.00357376,3.29966,151.496,19.4004,97.4953
184,0,0.032701,0.0105935,3.30051,151.661,15.0103,97.1328
185,0,0.0335506,0.0124789,3.29861,152.098,10.4935,97.2203
186,0,0.0334023,0.01469,3.29872,152.491,6.01585,97.2706
187,0,0.0319588,0.0115689,3.30109,152.637,1.55182,97.2146
188,0,0.0473565,0.00576284,3.30149,153.159,-3.0748,97.5084
189,0,0.0481905,0.00676537,3.30124,153.463,-7.59116,97.5139
190,0,0.0461977,0.00613593,3.30081,153.922,-12.1623,97.572
191,0,0.0473162,0.0089559,3.29893,154.21,-16.6349,97.678
192,0,0.0308396,0.0148441,3.29907,154.389,-21.0595,97.4322
193,0,-3.13319,0.0226165,0.0284107,154.807,-25.7441,97.3431
194,0,-3.13105,0.0229245,0.0270035,155.099,-30.2827,97.2587
195,0,-3.12936,0.0225002,0.029534,155.48,-34.8311,97.2602
196,0,-3.13377,0.0191717,0.0313002,155.926,-39.3612,97.354
197,0,-3.13062,0.0231202,0.0280976,156.21,-44.0682,97.3314
198,0,-3.13174,0.0228491,0.0286291,156.613,-48.6486,97.3384
199,0,-0.0439924,-0.00902804,-2.98124,156.931,-53.3589,97.5661
200,0,-0.0441643,-0.00797009,-2.98199,157.356,-57.9977,97.6197
201,0,-0.0468231,-0.00790837,-2.98087,157.792,-62.5336,97.6798
202,0,-0.0467938,-0.00847427,-2.98173,158.071,-67.2108,97.7118
203,0,-0.0342161,-0.0119829,-2.9808,158.276,-71.9395,97.5821
204,0,-0.031428,-0.0149075,-2.98123,158.647,-76.6418,97.5989
205,0,-0.032487,-0.0146302,-2.98202,158.937,-81.3736,97.5853
206,0,-0.0494747,-0.0092645,-2.98162,159.521,-86.1077,97.8652
207,0,-0.0459022,-0.0128095,-2.98068,159.79,-90.8424,97.8906
208,0,-3.13224,0.0226353,0.0354242,160.274,-95.627,97.662
209,0,-3.13192,0.0217772,0.0356144,160.624,-100.456,97.6284
210,0,-3.13151,0.0218892,0.0348186,160.944,-105.271,97.6954
211,0,-3.13305,0.0215146,0.0350889,161.229,-109.997,97.7129
212,0,-3.13218,0.0218594,0.034433,161.733,-114.801,97.8389
213,0,-3.13389,0.0192898,0.0363216,162.024,-119.612,97.7987
214,0,-0.0474599,-0.0115181,-2.97981,162.22,-124.407,98.1523
215,0,-0.048407,-0.0093708,-2.97956,162.577,-129.194,98.0902
216,0,-0.0468605,-0.0085064,-2.98117,163.177,-134.022,98.1554
217,0,-0.0460056,-0.00900063,-2.98069,163.496,-138.812,98.2298
218,0,-0.0448519,-0.0109516,-2.98033,163.789,-143.773,98.24
219,0,-0.046561,-0.0119906,-2.97962,164.146,-148.619,98.2919
220,0,-0.0477342,-0.01018,-2.98249,164.638,-153.495,98.4474
221,0,-0.048485,-0.0110562,-2.98157,165.002,-158.376,98.4527
222,0,-0.0463812,-0.00776364,-2.98149,165.388,-163.303,98.5318
223,0,-0.047461,-0.00731179,-2.98073,165.646,-168.215,98.5472
224,0,-0.0450978,-0.00675569,-2.98148,166.004,-173.163,98.623
225,0,-0.0461468,-0.009263,-2.97978,166.325,-178.14,98.6967
226,0,-0.0446971,-0.00976899,-2.98005,166.822,-183.135,98.8826
227,0,-0.0483164,-0.0110106,-2.97995,167.117,-188.137,98.8208
228,0,-0.0443673,-0.00914798,-2.98085,167.482,-193.139,98.7866
229,0,-0.0460533,-0.009364,-2.97927,167.822,-198.18,98.855
230,0,-0.0461102,-0.00623013,-2.97896,168.303,-203.307,98.915
231,0,-0.0445206,-0.0091635,-2.97901,168.696,-208.321,98.8485
232,0,-0.0453214,-0.00898015,-2.97885,169.142,-213.523,98.8885
233,0,-0.0335837,-0.0154168,-2.97835,169.334,-218.701,98.7085
234,0,-0.0361519,-0.0153588,-2.97892,169.771,-223.875,98.8559
235,0,-0.0338953,-0.0153136,-2.97852,170.186,-229.11,98.8131
236,0,-0.0360607,-0.0103821,-2.97779,170.706,-234.46,98.8908
237,0,-0.033774,-0.0112959,-2.97822,171.022,-239.808,98.9354
238,0,-0.0460998,-0.00849218,-2.97877,171.544,-245.183,99.1467
239,0,-0.0439555,-0.00931873,-2.97928,171.94,-250.603,99.1177
240,0,-0.0335287,-0.0145724,-2.97742,172.297,-256.024,98.9592
241,0,-0.0287458,-0.0168203,-2.98032,172.729,-261.431,98.9249
242,0,-0.0437603,-0.00834381,-2.97841,173.278,-267.007,99.1432
243,0,-0.0279379,-0.0117777,-2.98027,173.642,-272.417,98.9091
244,0,-0.0284787,-0.0114178,-2.97944,174.062,-277.958,98.857
245,0,-0.0288758,-0.0102209,-2.97915,174.579,-283.584,98.9528
246,0,-0.0365584,-0.0132338,-2.97709,175.025,-289.327,99.0478
247,0,-0.0439242,-0.0106943,-2.97908,175.621,-294.846,99.1673
248,0,-0.0475239,-0.00982797,-2.97689,176.017,-300.496,99.2016
249,0,-0.044155,-0.00823704,-2.97881,176.628,-306.087,99.2311
250,0,-0.043481,-0.00984956,-2.97943,176.962,-311.822,99.278
251,0,-0.0475791,-0.00915621,-2.9766,177.363,-317.627,99.4959
252,0,-0.0420226,-0.0106799,-2.9786,177.913,-323.282,99.6259
253,0,-0.0426894,-0.0100963,-2.97864,178.362,-329.024,99.5866
254,0,-0.042302,-0.0103025,-2.97836,178.753,-334.813,99.609
255,0,-0.0433439,-0.0117015,-2.97801,179.085,-340.43,99.6412
256,0,-0.0399945,-0.00833264,-2.97815,179.635,-346.228,99.7915
257,0,-0.0272561,-0.013331,-2.97848,179.995,-351.88,99.7063
258,0,-0.0368449,-0.00729944,-2.97821,180.589,-357.435,99.8953
259,0,-0.0260473,-0.0143888,-2.97748,180.957,-362.892,99.8111
260,0,-0.0289647,-0.0134769,-2.97795,181.511,-368.382,100.02
261,0,-0.0286108,-0.0137317,-2.97865,181.891,-373.842,100.15
262,0,-0.0266505,-0.0114311,-2.97711,182.258,-379.286,100.182
263,0,-0.0377838,-0.0075393,-2.97729,182.87,-384.741,100.424
264,0,-0.0394344,-0.0111541,-2.97755,183.332,-390.107,100.509
265,0,-0.0367458,-0.00983824,-2.97778,183.767,-395.465,100.558
266,0,-0.0366844,-0.0107231,-2.97661,184.109,-400.81,100.679
267,0,-0.0358337,-0.00736476,-2.97685,184.485,-406.013,100.823
268,0,-0.0387391,-0.0106014,-2.97871,185.024,-411.182,100.879
269,0,-0.0393275,-0.00873815,-2.9781,185.374,-416.355,100.968
270,0,-0.0275731,-0.0130214,-2.97675,185.756,-421.389,100.803
271,0,-0.0375504,-0.00850817,-2.97627,186.416,-426.485,100.997
272,0,-0.0278458,-0.0138684,-2.97605,186.798,-431.585,100.922
273,0,-0.0256524,-0.0118068,-2.97643,187.224,-436.681,101.005
274,0,-0.0256095,-0.0141395,-2.97485,187.68,-441.905,101.047
275,0,-0.0245567,-0.0144109,-2.97504,188.211,-447.114,101.079
276,0,-0.0374083,-0.0116372,-2.97581,188.797,-452.261,101.318
277,0,-0.0365034,-0.0114543,-2.97593,189.207,-457.456,101.394
278,0,-0.0374746,-0.0114628,-2.97448,189.694,-462.66,101.403
279,0,-0.0375766,-0.00865659,-2.97323,190.193,-467.942,101.464
280,0,-0.0354258,-0.00929274,-2.97377,190.608,-473.218,101.474
281,0,-0.035061,-0.0105437,-2.97512,191.042,-478.481,101.631
282,0,-0.03687,-0.0116068,-2.97457,191.441,-483.757,101.802
283,0,-0.0340977,-0.0109669,-2.97547,191.949,-489.15,101.862
284,0,-0.0357692,-0.00989121,-2.97504,192.313,-494.545,101.87
285,0,-0.0230099,-0.015569,-2.97504,192.638,-499.874,101.887
286,0,-0.0253597,-0.0150504,-2.97296,193.151,-505.275,101.958
287,0,-0.0234807,-0.0140585,-2.97343,193.649,-510.69,102.073
288,0,-0.024246,-0.0141554,-2.97324,194.135,-516.209,102.144
289,0,-0.0336737,-0.0138735,-2.97352,194.635,-521.801,102.267
290,0,-0.0350674,-0.0137578,-2.97233,195.115,-527.314,102.408
291,0,-0.0347621,-0.0111737,-2.97265,195.683,-532.834,102.495
292,0,-0.0353466,-0.0128424,-2.97254,196.286,-538.464,102.42
293,0,-0.0342101,-0.0119615,-2.97173,196.904,-544.141,102.361
294,0,-0.0342153,-0.0134777,-2.97108,197.422,-549.833,102.529
295,0,-0.0331448,-0.0146999,-2.97144,197.97,-555.576,102.637
296,0,-0.0248377,-0.0210808,-2.97068,198.516,-561.371,102.501
297,0,-0.0208859,-0.0190295,-2.97036,199.027,-567.133,102.664
298,0,-0.0320333,-0.0149359,-2.96955,199.703,-572.927,102.818
299,0,-0.0294011,-0.0143646,-2.97101,200.303,-578.734,102.872
300,0,-0.028503,-0.013761,-2.97062,200.805,-584.592,102.978
301,0,-0.0303284,-0.0157044,-2.96868,201.148,-590.623,102.874
302,0,-0.0275782,-0.0135524,-2.96974,201.662,-596.467,102.939
303,0,-0.0286594,-0.0144106,-2.96989,202.261,-602.59,102.977
304,0,-0.0266784,-0.0148699,-2.96962,202.742,-608.717,103.112
305,0,-0.0285439,-0.0143706,-2.96888,203.263,-614.886,103.031
306,0,-0.0214545,-0.0160511,-2.96671,203.685,-620.965,103.098
307,0,-0.0318195,-0.0114289,-2.9667,204.336,-627.102,103.477
308,0,-0.022793,-0.0187091,-2.96683,204.687,-633.199,103.383
309,0,-0.0177585,-0.0200409,-2.96838,205.25,-639.342,103.239
310,0,-0.0261648,-0.0118571,-2.96938,205.935,-645.713,103.459
311,0,-0.0268173,-0.0140511,-2.96721,206.505,-652.035,103.6
312,0,-0.0278624,-0.0141902,-2.96643,207.038,-658.263,103.726
313,0,-3.13205,0.00106458,0.0386561,207.435,-664.589,103.764
314,0,-3.13089,0.000780916,0.040285,208.06,-671.003,104.018
315,0,-3.13619,-0.00229893,0.0211196,208.499,-677.68,103.806
316,0,-3.13498,-0.00523767,0.0220597,209.106,-684.093,103.914
317,0,-3.13426,-0.00530764,0.024633,209.709,-690.648,103.83
318,0,-3.13587,-0.00424492,0.0228532,210.452,-697.357,103.749
319,0,-3.13405,-0.00830477,0.0228206,210.963,-703.943,104.021
320,0,-3.13521,-0.00942712,0.0232987,211.651,-710.624,103.98
321,0,-3.13558,-0.00724785,0.0181589,212.296,-717.413,103.959
322,0,-3.1354,-0.0100918,0.0223605,212.936,-724.219,104.097
323,0,-3.13435,-0.00989377,0.0256559,213.629,-731.009,104.14
324,0,-3.13563,-0.00940995,0.0194732,214.497,-737.73,104.219
325,0,-3.13452,-0.0142113,0.0218906,215.473,-744.419,104.316
326,0,-3.13525,-0.0137922,0.0222415,216.84,-751.009,104.358
327,0,-3.13413,-0.0170264,0.0210232,218.192,-757.46,104.419
328,0,-0.0287518,-0.0150823,-2.96057,220.022,-763.811,104.816
329,0,-0.0226367,-0.0153007,-2.95709,221.65,-770.204,104.722
330,0,-0.0251702,-0.012691,-2.95622,223.554,-776.577,104.798
331,0,-0.026042,-0.0137604,-2.95331,225.484,-782.819,104.862
332,0,-0.0174558,-0.0175413,-2.94972,227.573,-788.983,104.836
333,0,-0.0270001,-0.012286,-2.94575,229.939,-795.154,104.963
334,0,-3.13097,-0.0421608,0.0333541,232.149,-801.094,104.923
335,0,-3.13247,-0.0444593,0.0332466,234.681,-807.063,105.055
336,0,-3.13282,-0.0477007,0.0355679,237.287,-812.834,104.978
337,0,-3.1319,-0.0540332,0.0325233,239.966,-818.623,105.043
338,0,-3.13115,-0.0630331,0.023788,242.634,-824.414,104.991
339,0,-3.13189,-0.0672891,0.0329957,245.669,-829.914,105.129
340,0,-3.12983,-0.0726091,0.0347523,248.709,-835.424,105.236
341,0,-3.13334,-0.0832767,0.0366241,251.81,-840.824,105.082
342,0,-3.13248,-0.0864198,0.0366598,254.982,-845.968,105.045
343,0,-3.13498,-0.0932323,0.0247415,258.084,-851.206,104.929
344,0,-3.13262,-0.0991771,0.03115,261.378,-856.223,105.053
345,0,-3.13079,-0.10477,0.0351969,264.529,-861.062,105.141
346,0,-3.13205,-0.111662,0.0254124,267.562,-865.641,105.029
347,0,-3.13222,-0.117855,0.0307239,270.742,-870.15,105.358
348,0,-3.13121,-0.125339,0.0335488,273.578,-874.284,105.486
349,0,-3.13258,-0.12841,0.0329766,276.284,-878.052,105.446
350,0,-3.13092,-0.135415,0.0337936,278.871,-881.65,105.469
351,0,-3.13215,-0.138598,0.0409358,281.332,-884.876,105.534
352,0,-3.12934,-0.144344,0.0376927,283.778,-887.883,105.507
353,0,-3.13041,-0.147251,0.0348988,286.094,-890.617,105.502
354,0,-3.13089,-0.155427,0.035274,288.331,-893.104,105.628
355,0,-3.12955,-0.161031,0.0254465,290.618,-895.298,105.581
356,0,-3.13039,-0.161345,0.0336824,293.041,-897.294,105.769
357,0,-3.12841,-0.168956,0.0361207,295.395,-899.11,105.764
358,0,-3.1309,-0.173477,0.0378665,297.626,-900.759,105.85
359,0,-3.12996,-0.177232,0.0382882,299.863,-902.141,105.779
360,0,-3.12775,-0.183077,0.028419,302.141,-903.109,105.541
361,0,-3.12841,-0.188,0.0316542,304.47,-904.014,105.647
362,0,-3.12778,-0.192555,0.0320465,306.879,-904.668,105.737
363,0,-3.12895,-0.197718,0.0306871,309.159,-905.154,105.854
364,0,-3.128,-0.203273,0.0309103,311.479,-905.374,105.861
365,0,-3.12838,-0.212873,0.0328369,313.818,-905.399,105.853
366,0,-3.12718,-0.218461,0.0355462,316.293,-905.172,105.838
367,0,-3.12725,-0.224284,0.0319572,318.674,-904.728,105.761
368,0,-3.12599,-0.236417,0.0339632,320.991,-904.286,105.862
369,0,-3.12591,-0.239095,0.0349243,323.516,-903.312,105.901
370,0,-3.12562,-0.248685,0.0288809,325.847,-902.336,105.893
371,0,-3.12352,-0.251921,0.0364376,328.335,-901.007,106.073
372,0,-3.12363,-0.26013,0.0379214,330.844,-899.387,105.873
373,0,-3.12367,-0.265521,0.0346744,333.399,-897.864,105.795
374,0,-3.12262,-0.275268,0.0384372,335.876,-895.987,105.63
375,0,-3.11997,-0.281837,0.0394697,338.503,-894.175,105.77
376,0,-3.12172,-0.289482,0.0335959,341.197,-891.933,105.839
377,0,-3.12152,-0.300258,0.034203,343.95,-889.745,105.865
378,0,-3.12141,-0.308406,0.0371904,346.644,-887.387,105.778
379,0,-3.11845,-0.316126,0.033789,349.42,-884.927,105.509
380,0,-3.11742,-0.323897,0.0354948,352.177,-882.29,105.397
381,0,-3.11628,-0.331116,0.0302971,354.96,-879.457,105.453
382,0,-3.11795,-0.343094,0.037877,357.751,-876.353,105.416
383,0,-3.1174,-0.352914,0.0368095,360.601,-873.119,105.43
384,0,-3.11482,-0.363658,0.0386572,363.391,-869.735,105.3
385,0,-3.11419,-0.375373,0.0355328,366.152,-866.077,105.126
386,0,-3.11517,-0.381298,0.0320618,368.919,-862.339,105.14
387,0,-3.11283,-0.389228,0.0278264,371.718,-858.314,105.269
388,0,-3.1127,-0.404614,0.0361218,374.489,-854.171,105.306
