accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.248,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.272,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.289,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.306,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.329,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.346,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.367,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.393,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.406,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.427,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.447,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.467,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.487,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.507,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.527,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.547,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.57,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.593,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.607,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.626,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.647,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.666,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.687,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.707,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.727,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.746,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.767,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.787,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.807,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.827,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.847,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.867,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.887,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.907,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.948,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.95,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.966,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,837.988,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.006,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.026,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.053,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.068,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.087,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.107,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.127,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.147,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.167,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.187,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.207,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.227,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.248,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.267,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.287,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.307,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.327,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.347,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.367,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.386,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.407,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.427,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.447,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.468,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.492,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.507,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.528,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.547,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,0.03125,838.567,0
     0,0,0,0,0,0,0,0,0,0,-0.596047,-0.0078125,0.03125,838.587,0
     0,0,0,0,0,0,0,0,0,127.523,-53.3264,-0.0078125,0.03125,838.607,0
     0,0,0,0,0,0,0,0,0,116.805,-54.8225,-0.0078125,0.03125,838.628,0
     0,0,0,0,0,0,0,0,0,126.262,-86.4581,-0.0078125,0.03125,838.646,0
     0,0,0,0,0,0,0,0,0,151.38,-147.323,-0.0078125,0.03125,838.667,0
     0,0,0,0,0,0,0,0,0,188.239,-175.382,-0.0078125,0.03125,838.687,0
     0,0,0,0,0,0,0,0,0,218.469,-223.137,-0.0078125,0.03125,838.707,0
     0,0,0,0,0,0,0,0,0,231.104,-268.9,-0.0078125,0.03125,838.727,0
     0,0,0,0,0,0,0,0,0,268.991,-255.268,-0.0078125,0.03125,838.747,0
     0,0,0,0,0,0,0,0,0,283.503,-297.146,-0.0078125,0.03125,838.766,0
     0,0,0,0,0,0,0,0,0,307.825,-263.602,-0.0078125,0.03125,838.786,0
     0,0,0,0,0,0,0,0,0,270.94,-285.018,-0.0078125,0.03125,838.806,0
     0,0,0,0,0,0,0,0,0,308.923,-393.941,-0.0078125,0.03125,838.828,0
     0,0,0,0,0,0,0,0,0,348.014,-327.853,-0.0078125,0.03125,838.86,0
     0,0,0,0,0,0,0,0,0,334.001,-359.758,-0.0078125,0.03125,838.866,0
     0,0,0,0,0,0,0,0,0,345.054,-360.633,-0.0078125,0.03125,838.886,0
     0,0,0,0,0,0,0,0,0,339.749,-352.69,-0.0078125,0.03125,838.914,0
     0,0,0,0,0,0,0,0,0,362.897,-417.153,-0.0078125,0.03125,838.926,0
     0,0,0,0,0,0,0,0,0,356.805,-340.559,-0.0078125,0.03125,838.947,0
     0,0,0,0,0,0,0,0,0,379.586,-457.655,-0.0078125,0.03125,838.967,0
     0,0,0,0,0,0,0,0,0,375.523,-369.932,-0.0078125,0.03125,838.987,0
     0,0,0,0,0,0,0,0,0,390.488,-425.523,-0.0078125,0.03125,839.007,0
     0,0,0,0,0,0,0,0,0,402.852,-338.141,-0.0078125,0.03125,839.027,0
     0,0,0,0,0,0,0,0,0,441.608,-496.635,-0.0078125,0.03125,839.047,0
     0,0,0,0,0,0,0,0,0,416.745,-388.674,-0.0078125,0.03125,839.066,0
     0,0,0,0,0,0,0,0,0,434.065,-427.661,-0.0078125,0.03125,839.086,0
     0,0,0,0,0,0,0,0,0,432.62,-465.962,-0.0078125,0.03125,839.106,0
     0,0,0,0,0,0,0,0,0,415.377,-501.291,-0.0078125,0.03125,839.141,0
     0,0,0,0,0,0,0,0,0,417.014,-352.125,-0.0078125,0.03125,839.15,0
     0,0,0,0,0,0,0,0,0,399.968,-387.935,-0.0078125,0.03125,839.167,0
