Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.00408042,-0.00724967,-0.0546397,-1145.6,1209.15,290.128
2,0,0.00514619,-0.00760268,-0.0554052,-1145.67,1209.16,290.057
3,0,0.00638115,-0.0082255,-0.0564817,-1145.71,1209.23,290.002
4,0,-0.0225431,-0.00823307,-0.0406336,-1149.14,1224.44,282.919
5,0,-0.0221642,-0.00866851,-0.0403406,-1149.12,1224.42,282.866
6,0,-0.0219303,-0.008482,-0.0400972,-1149.12,1224.44,282.902
7,0,-0.0220634,-0.00845486,-0.0403787,-1149.14,1224.44,282.902
8,0,-0.0221011,-0.00838875,-0.0403538,-1149.13,1224.44,282.89
9,0,-0.0219997,-0.00840117,-0.0403384,-1149.14,1224.45,282.913
10,0,-0.0221512,-0.00850453,-0.0404506,-1149.14,1224.44,282.89
11,0,-0.0217713,-0.00841281,-0.0405201,-1149.14,1224.46,282.898
12,0,-0.0221567,-0.00831955,-0.0404027,-1149.13,1224.45,282.904
13,0,-0.0221147,-0.00836582,-0.0402997,-1149.13,1224.4,282.89
14,0,-0.0217817,-0.00830755,-0.0405908,-1149.14,1224.46,282.877
15,0,-0.0222079,-0.00844052,-0.0404641,-1149.12,1224.44,282.88
16,0,-0.0218214,-0.00822285,-0.0403005,-1149.15,1224.4,282.901
17,0,-0.0219089,-0.00832665,-0.0404822,-1149.14,1224.45,282.891
18,0,-0.0219868,-0.00839178,-0.0405906,-1149.1,1224.45,282.872
19,0,-0.0222042,-0.00818695,-0.040476,-1149.14,1224.39,282.887
20,0,-0.0223792,-0.00840975,-0.0405186,-1149.13,1224.44,282.898
21,0,-0.0219368,-0.00828124,-0.0406119,-1149.1,1224.46,282.906
22,0,-0.0223306,-0.00854438,-0.040471,-1149.14,1224.37,282.878
23,0,-0.0220678,-0.00835931,-0.0405812,-1149.11,1224.44,282.89
24,0,-0.0220305,-0.00832088,-0.0406346,-1149.1,1224.44,282.904
25,0,-0.0221732,-0.008364,-0.0403378,-1149.14,1224.39,282.899
26,0,-0.0221633,-0.00823743,-0.040445,-1149.13,1224.47,282.891
27,0,-0.0221635,-0.00827726,-0.0404989,-1149.11,1224.46,282.877
28,0,-0.0223151,-0.00817506,-0.0403349,-1149.16,1224.41,282.882
29,0,-0.022314,-0.00802447,-0.0401633,-1149.12,1224.47,282.874
30,0,-0.0225251,-0.00801428,-0.0400371,-1149.14,1224.49,282.899
31,0,-0.0220958,-0.00811127,-0.0399601,-1149.18,1224.45,282.899
32,0,-0.0219369,-0.00839733,-0.0398764,-1149.15,1224.5,282.887
33,0,-0.0217368,-0.00854987,-0.0399069,-1149.17,1224.49,282.918
34,0,-0.0216153,-0.00856699,-0.0398948,-1149.2,1224.46,282.946
35,0,-0.0220213,-0.00881959,-0.0401014,-1149.14,1224.5,282.921
36,0,-0.0216137,-0.00868261,-0.0400924,-1149.17,1224.47,282.931
37,0,-0.0216723,-0.00866501,-0.0403319,-1149.17,1224.4,282.913
38,0,-0.0219793,-0.00877532,-0.0406602,-1149.12,1224.46,282.9
39,0,-0.0219837,-0.00839157,-0.0402264,-1149.14,1224.47,282.896
40,0,-0.0225943,-0.00796325,-0.0397497,-1149.18,1224.46,282.897
41,0,-0.0229302,-0.00758757,-0.0394522,-1149.16,1224.54,282.838
42,0,-0.0234534,-0.00692151,-0.0388322,-1149.21,1224.58,282.799
43,0,-0.0243705,-0.00603538,-0.0378052,-1149.25,1224.63,282.769
44,0,-0.0244529,-0.00553566,-0.0367636,-1149.32,1224.78,282.759
45,0,-0.0258259,-0.00429767,-0.0362184,-1149.33,1224.83,282.682
46,0,-0.028848,-0.00118713,-0.0448401,-1148.55,1223.91,282.349
47,0,-0.0294659,-0.000900887,-0.0452719,-1148.52,1223.95,282.347
48,0,-0.029369,-0.000771636,-0.0452521,-1148.54,1223.96,282.356
49,0,-0.0294393,-0.000893355,-0.0450752,-1148.54,1223.94,282.344
50,0,-0.0292657,-0.000795105,-0.0452278,-1148.53,1223.96,282.334
51,0,-0.0295579,-0.000855026,-0.0452971,-1148.55,1223.96,282.348
52,0,-0.0296643,-0.000998964,-0.0451676,-1148.55,1223.95,282.337
53,0,-0.0292817,-0.00100199,-0.0452107,-1148.52,1223.94,282.344
54,0,-0.0292533,-0.000903509,-0.0450759,-1148.56,1223.96,282.334
55,0,-0.0293546,-0.000893311,-0.0452454,-1148.52,1223.98,282.349
56,0,-0.0295427,-0.000904506,-0.0451007,-1148.54,1223.96,282.343
57,0,-0.0293317,-0.00086822,-0.0452375,-1148.54,1223.94,282.364
58,0,-0.0291667,-0.000899703,-0.0453406,-1148.52,1223.94,282.353
59,0,-0.0290514,-0.000960607,-0.0452813,-1148.53,1223.96,282.329
60,0,-0.0294466,-0.00109515,-0.0452414,-1148.53,1223.94,282.354
61,0,-0.0292626,-0.000796957,-0.0451474,-1148.53,1223.96,282.36
