raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,left_encoder_rate,right_encoder_rate,fpga time,navx time
0.026001,-0.00408936,1.01569,0,0,-45.61,0,0,155.274,8388467,
0.0230103,-0.00384521,1.01813,-0.001,-0.001,-45.61,0,0,155.392,8388587,
0.0267944,-0.00604248,1.01044,0.002,0,-45.61,0,0,155.412,8388603,
0.0247192,-0.00549316,1.01782,0,-0.001,-45.61,0,0,155.432,8388632,
0.0245361,-0.00695801,1.02069,0.001,-0.002,-45.61,0,0,155.452,8388647,
0.0247192,-0.00415039,1.01355,0,0,-45.61,0,0,155.474,8388663,
0.0227661,-0.00170898,1.01355,-0.003,0,-45.61,0,0,155.492,8388692,
0.024353,-0.00549316,1.01184,0,-0.001,-45.61,0,0,155.512,8388707,
0.0247803,-0.00610352,1.01318,0.001,-0.001,-45.61,0,0,155.533,8388723,
0.0213623,-0.00354004,1.01703,-0.002,-0.002,-45.61,0,0,155.553,8388737,
0.0256348,-0.00762939,1.01196,0.003,-0.002,-45.61,0,0,155.572,8388767,
0.0256958,-0.00683594,1.02295,0.002,-0.001,-45.61,0,0,155.593,8388783,
0.0268555,-0.00421143,1.02032,0.001,0,-45.61,0,0,155.614,8388813,
0.0258179,-0.00598145,1.01172,0.002,0,-45.61,0,0,155.632,8388828,
0.024292,-0.00366211,1.0163,0,0,-45.61,0,0,155.653,8388843,
0.0250854,-0.00842285,1.01593,0.003,-0.003,-45.61,0,0,155.673,8388873,
0.0244141,-0.00750732,1.01953,0.001,-0.003,-45.61,0,0,155.695,8388888,
0.0240479,-0.00305176,1.01459,-0.001,0,-45.61,0,0,155.712,8388903,
0.0249023,-0.00476074,1.00909,0,0,-45.61,0,0,155.733,8388933,
0.0247803,-0.00341797,1.01819,0,0,-45.61,0,0,155.752,8388948,
0.0232544,-0.00109863,1.01154,-0.003,0,-45.61,0,0,155.773,8388963,
0.0271606,-0.00469971,1.01178,0.002,0,-45.61,0,0,155.798,8388993,
0.0253296,-0.00604248,1.01007,0.001,-0.001,-45.61,0,0,155.814,8389008,
0.0222168,-0.00714111,1.01422,0,-0.004,-45.61,0,0,155.831,8389023,
0.0263062,-0.00592041,1.02209,0.002,0,-45.61,0,0,155.854,8389053,
0.0244141,-0.00231934,1.01086,-0.001,0,-45.61,0,0,155.873,8389068,
0.0253906,-0.0057373,1.01831,0.001,-0.001,-45.61,0,0,155.892,8389083,
0.0275269,-0.00311279,1.01422,0.001,0.002,-45.61,0,0,155.912,8389098,
0.0269165,-0.00256348,1.01434,0,0.002,-45.61,0,0,155.932,8389128,
0.0244751,-0.00531006,1.01544,0,-0.001,-45.61,0,0,155.952,8389143,
0.0240479,-0.00653076,1.01703,0.001,-0.002,-45.61,0,0,155.972,8389158,
0.0231323,-0.00610352,1.01892,0,-0.002,-45.61,0,0,155.994,8389188,
0.0255127,-0.00531006,1.01361,0.001,0,-45.61,0,0,156.019,8389218,
0.0246582,-0.0045166,1.01709,0,0,-45.61,0,0,156.033,8389233,
0.0262451,-0.00714111,1.01495,0.003,-0.001,-45.61,0,0,156.052,8389248,
0.0261841,-0.00543213,1.01636,0.001,0,-45.61,0,0,156.072,8389263,
0.024353,-0.00305176,1.01721,-0.001,0,-45.61,0,0,156.092,8389278,
0.024353,-0.00360107,1.01367,0,0,-45.61,0,0,156.113,8389308,
0.0270996,-0.00585938,1.01636,0.002,0,-45.61,0,0,156.133,8389323,
0.0250244,-0.00311279,1.01508,0,0,-45.61,0,0,156.153,8389338,
0.0240479,-0.00408936,1.0141,0,0,-45.61,0,0,156.173,8389368,
0.0231323,-0.00585938,1.01556,0,-0.002,-45.61,0,0,156.193,8389383,
