Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00380011,-0.0911997,3.48004,-806.833,1283.67,283.421
2,0,-0.00401265,-0.091415,3.48013,-806.829,1283.65,283.446
3,0,0.00514618,-0.0799359,3.48008,-806.935,1283.58,283.804
4,0,0.00532618,-0.0792669,3.48004,-806.934,1283.58,283.808
5,0,0.00524885,-0.0790107,3.48007,-806.935,1283.55,283.823
6,0,0.00520486,-0.0791647,3.48013,-806.929,1283.56,283.827
7,0,0.00539271,-0.0793211,3.48005,-806.934,1283.57,283.819
8,0,0.00519504,-0.0791693,3.48002,-806.945,1283.56,283.809
9,0,0.013288,-0.0691346,3.47956,-807.053,1283.5,284.145
10,0,0.0129399,-0.0687251,3.47963,-807.044,1283.52,284.14
11,0,0.0127854,-0.0691611,3.47969,-807.044,1283.48,284.159
12,0,0.012581,-0.0693492,3.47959,-807.052,1283.49,284.126
13,0,0.012376,-0.0700212,3.47975,-807.042,1283.53,284.099
14,0,0.0121818,-0.0700785,3.47975,-807.04,1283.48,284.117
15,0,0.0117621,-0.0705648,3.47973,-807.037,1283.49,284.092
16,0,0.0112212,-0.0707902,3.47977,-807.021,1283.55,284.06
17,0,0.0107921,-0.0715385,3.47972,-807.013,1283.5,284.081
18,0,0.0106519,-0.0720349,3.47974,-807.015,1283.5,284.042
19,0,0.0103812,-0.072682,3.47982,-807.014,1283.54,284.003
20,0,0.0099908,-0.0727805,3.47994,-807.001,1283.51,284.029
21,0,0.00966739,-0.0730829,3.47987,-806.997,1283.51,284.01
22,0,0.00963844,-0.0738,3.47989,-807.001,1283.53,283.975
23,0,0.00939384,-0.073645,3.47993,-806.989,1283.53,284.01
24,0,0.00922788,-0.0740209,3.47993,-806.988,1283.52,283.978
25,0,0.00920767,-0.0735273,3.47988,-806.993,1283.53,283.969
26,0,0.0092041,-0.0739758,3.47993,-806.997,1283.51,283.984
27,0,0.00928161,-0.0735775,3.47996,-806.983,1283.52,284.006
