left,right,time
51156,63950,1509599300.896819
50329,63202,1509599300.996990
49905,62830,1509599301.097162
49032,62119,1509599301.197279
48146,61443,1509599301.297442
47689,61126,1509599301.397612
46767,60507,1509599301.497782
45832,59903,1509599301.597967
45205,59498,1509599301.698137
44572,59087,1509599301.798308
43480,58389,1509599301.898477
42866,57990,1509599301.998647
42246,57579,1509599302.098817
41146,56850,1509599302.198989
40534,56416,1509599302.299158
39614,55766,1509599302.399294
38997,55329,1509599302.499418
38087,54665,1509599302.599585
37218,53978,1509599302.699690
36782,53632,1509599302.799838
35910,52931,1509599302.900010
35044,52214,1509599303.000125
34621,51839,1509599303.100307
33664,50941,1509599303.200473
33138,50422,1509599303.300620
32349,49635,1509599303.400771
31685,48970,1509599303.500940
31155,48440,1509599303.601109
30615,47902,1509599303.701280
29822,47107,1509599303.801465
29291,46577,1509599303.901648
28476,45762,1509599304.001751
27634,44928,1509599304.101908
27209,44497,1509599304.202055
26199,43432,1509599304.302152
25760,42962,1509599304.402285
24869,42014,1509599304.502425
24271,41398,1509599304.602561
23196,40309,1509599304.702696
22419,39502,1509599304.802836
21966,39033,1509599304.903008
20884,37920,1509599305.003115
20104,37106,1509599305.103217
19620,36626,1509599305.203379
18656,35658,1509599305.303547
17681,34683,1509599305.403652
17196,34198,1509599305.503785
16239,33238,1509599305.603909
15592,32592,1509599305.704085
14626,31631,1509599305.804254
13676,30681,1509599305.904422
13028,30034,1509599306.004541
12388,29394,1509599306.104695
11259,28266,1509599306.204802
10612,27635,1509599306.304962
9656,26705,1509599306.405130
8853,25914,1509599306.505335
8361,25427,1509599306.605504
7381,24450,1509599306.705674
6400,23475,1509599306.805845
5733,22804,1509599306.906023
4749,21815,1509599307.006153
4267,21341,1509599307.106290
3285,20362,1509599307.206426
2314,19394,1509599307.306565
1663,18743,1509599307.406669
1021,18098,1509599307.506829
65427,16962,1509599307.606997
64775,16313,1509599307.707161
63784,15322,1509599307.807332
63115,14650,1509599307.907508
62454,13993,1509599308.007694
61498,13046,1509599308.107858
60516,12068,1509599308.208026
60011,11562,1509599308.308212
59053,10605,1509599308.408334
58080,9626,1509599308.508511
57417,8965,1509599308.608682
56758,8319,1509599308.708849
55763,7322,1509599308.808970
55109,6675,1509599308.909133
54008,5573,1509599309.009302
53286,4850,1509599309.109474
52868,4428,1509599309.209645
51967,3529,1509599309.309816
51504,3066,1509599309.409939
50858,2418,1509599309.510130
50565,2122,1509599309.610303
50026,1582,1509599309.710442
49558,1111,1509599309.810583
49349,903,1509599309.910764
48984,534,1509599310.010917
48781,329,1509599310.111053
48519,115,1509599310.211221
48376,17,1509599310.311389
48169,44,1509599310.411517
48013,104,1509599310.511686
47910,158,1509599310.611869
47697,254,1509599310.712039
47572,337,1509599310.812212
47411,485,1509599310.912380
47254,646,1509599311.012558
47160,714,1509599311.112742
46952,864,1509599311.212911
46744,1046,1509599311.313079
46608,1192,1509599311.413188
46396,1418,1509599311.513350
46278,1545,1509599311.613497
46012,1821,1509599311.713670
45822,2022,1509599311.813851
45490,2372,1509599311.914032
45299,2575,1509599312.014158
45017,2887,1509599312.114323
44828,3093,1509599312.214476
44546,3404,1509599312.314631
44406,3559,1509599312.414754
44122,3869,1509599312.514893
43841,4178,1509599312.615066
43701,4331,1509599312.715239
43424,4654,1509599312.815404
43146,4971,1509599312.915575
42958,5180,1509599313.015743
42632,5558,1509599313.115858
42448,5768,1509599313.216040
42262,5983,1509599313.316222
41939,6367,1509599313.416371
41756,6590,1509599313.516482
41571,6806,1509599313.616635
41292,7130,1509599313.716807
41015,7459,1509599313.816943
40874,7621,1509599313.917100
40549,8010,1509599314.017240
40411,8175,1509599314.117391
40133,8508,1509599314.217534
39856,8839,1509599314.317689
39718,9004,1509599314.417857
39438,9335,1509599314.518037
39256,9555,1509599314.618138
38933,9939,1509599314.718259
38704,10217,1509599314.818595
38566,10386,1509599314.918845
38243,10771,1509599315.018973
38059,10994,1509599315.119100
37784,11330,1509599315.219221
37647,11493,1509599315.319342
37370,11828,1509599315.419468
37098,12171,1509599315.519598
36962,12343,1509599315.619724
36691,12683,1509599315.719851
36419,13029,1509599315.819978
36281,13198,1509599315.920132
35962,13601,1509599316.020266
35780,13829,1509599316.120420
35600,14063,1509599316.220530
35283,14474,1509599316.321679
35104,14705,1509599316.421823
34877,14997,1509599316.521977
34606,15343,1509599316.622077
34472,15521,1509599316.722205
34157,15939,1509599316.822332
34023,16119,1509599316.922463
33751,16472,1509599317.022592
33480,16827,1509599317.122726
33346,17005,1509599317.222864
33073,17360,1509599317.323022
32802,17715,1509599317.423166
32577,18013,1509599317.523310
32442,18194,1509599317.623451
32124,18609,1509599317.723566
31944,18843,1509599317.823738
31764,19082,1509599317.923902
31448,19495,1509599318.024066
31269,19730,1509599318.124241
31090,19967,1509599318.224472
30774,20386,1509599318.324648
30639,20563,1509599318.424818
30368,20923,1509599318.524982
30099,21282,1509599318.625149
29965,21460,1509599318.725293
29649,21879,1509599318.825456
29519,22061,1509599318.925677
29254,22421,1509599319.025841
28990,22785,1509599319.126011
28810,23027,1509599319.226118
28543,23387,1509599319.326255
28364,23630,1509599319.426392
28188,23875,1509599319.526532
27881,24309,1509599319.626696
27702,24552,1509599319.726814
27439,24918,1509599319.826931
27263,25159,1509599319.927107
27084,25404,1509599320.027228
26823,25778,1509599320.127361
26558,26156,1509599320.227529
26425,26341,1509599320.327696
26158,26711,1509599320.427833
25891,27082,1509599320.527994
25712,27331,1509599320.628130
25537,27578,1509599320.728290
25228,28012,1509599320.828426
25048,28262,1509599320.928587
24869,28510,1509599321.028759
24558,28942,1509599321.128877
24380,29187,1509599321.229044
24116,29554,1509599321.329218
23938,29799,1509599321.429361
23672,30170,1509599321.529521
23542,30356,1509599321.629692
23276,30722,1509599321.729889
23009,31097,1509599321.830055
22878,31282,1509599321.930166
22612,31656,1509599322.030296
22345,32026,1509599322.130420
22082,32403,1509599322.230527
21906,32650,1509599322.330695
21732,32901,1509599322.430863
21422,33334,1509599322.531001
21247,33582,1509599322.631157
21070,33830,1509599322.731338
20765,34274,1509599322.831523
20596,34518,1509599322.931639
20343,34884,1509599323.031797
20167,35139,1509599323.131979
20032,35326,1509599323.232161
19771,35703,1509599323.332343
19507,36090,1509599323.432484
19243,36473,1509599323.532580
19112,36662,1509599323.632678
18847,37044,1509599323.732862
18582,37423,1509599323.833037
18450,37614,1509599323.933217
18145,38056,1509599324.033402
17969,38311,1509599324.133541
17706,38690,1509599324.233693
17486,39005,1509599324.333865
17353,39194,1509599324.433967
17045,39634,1509599324.534033
16868,39882,1509599324.634134
16605,40202,1509599324.734257
16426,40398,1509599324.834390
16338,40487,1509599324.934527
16216,40608,1509599325.034658
16174,40663,1509599325.134823
16173,40664,1509599325.234988
16173,40664,1509599325.335153
16173,40664,1509599325.435322
16173,40664,1509599325.535445
16173,40664,1509599325.635609
16173,40664,1509599325.735774
16173,40664,1509599325.835943
16173,40664,1509599325.936051
