raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,left_encoder_rate,right_encoder_rate,fpga time,navx time
0.0234375,-0.00683594,1.01373,-0.001,0.001,-32.79,0,0,786.374,9019583
0.0237427,-0.00897217,1.02026,0,0,-32.79,0,0,786.392,9019598
0.0222778,-0.00952148,1.02545,-0.001,-0.001,-32.79,0,0,786.412,9019628
0.0247803,-0.00964355,1.01068,0,0,-32.79,0,0,786.432,9019643
0.0256348,-0.0103149,1.01819,0.001,0,-32.79,0,0,786.452,9019658
0.026001,-0.0115967,1.01508,0.002,0,-32.79,0,0,786.472,9019688
0.0239868,-0.00775146,1.01672,-0.001,0.001,-32.79,0,0,786.492,9019703
0.0229492,-0.00750732,1.01263,-0.001,0,-32.79,0,0,786.513,9019718
0.024292,-0.0100098,1.01532,0,0,-32.79,0,0,786.535,9019748
0.022583,-0.010376,1.01813,0,-0.001,-32.79,0,0,786.552,9019763
0.0219116,-0.0055542,1.01294,-0.003,0.001,-32.79,0,0,786.572,9019778
0.0237427,-0.00738525,1.01562,-0.001,0.001,-32.79,0,0,786.592,9019808
0.024231,-0.0111694,1.01154,0.001,-0.001,-32.79,0,0,786.612,9019823
0.0248413,-0.0101318,1.01825,0,0,-32.79,0,0,786.632,9019838
0.0221558,-0.00958252,1.02356,-0.001,-0.001,-32.79,0,0,786.652,9019868
0.0264893,-0.00775146,1.0166,0.001,0.002,-32.79,0,0,786.673,9019883
0.0236206,-0.0101318,1.01312,0,0,-32.79,0,0,786.694,9019913
0.0217896,-0.00848389,1.0116,-0.002,0,-32.79,0,0,786.713,9019928
0.0240479,-0.00994873,1.02063,0,0,-32.79,0,0,786.732,9019943
0.0239258,-0.0123291,1.0174,0.001,-0.002,-32.79,0,0,786.752,9019958
0.0237427,-0.00683594,1.01416,-0.001,0.002,-32.79,0,0,786.772,9019988
0.0214233,-0.0098877,1.02167,-0.002,-0.001,-32.79,0,0,786.792,9020003
0.0238647,-0.00732422,1.01886,-0.001,0.001,-32.79,0,0,786.814,9020033
0.0266724,-0.010437,1.01404,0.002,0,-32.79,0,0,786.832,9020048
0.0220337,-0.010376,1.01495,-0.001,-0.001,-32.79,0,0,786.852,9020063
0.0240479,-0.00634766,1.02167,-0.001,0.002,-32.79,0,0,786.873,9020078
0.0224609,-0.00842285,1.01794,-0.001,0,-32.79,0,0,786.893,9020108
0.0220947,-0.00598145,1.01135,-0.003,0.001,-32.79,0,0,786.912,9020123
0.0234985,-0.00872803,1.01355,0,0,-32.79,0,0,786.932,9020138
0.0263062,-0.0109863,1.01965,0.002,0,-32.79,0,0,786.952,9020168
0.0252075,-0.010498,1.01672,0.001,0,-32.79,0,0,786.972,9020183
0.0247803,-0.0111694,1.01117,0.001,-0.001,-32.79,0,0,786.992,9020198
0.0247803,-0.00689697,1.00873,0,0.002,-32.79,0,0,787.015,9020228
0.0245972,-0.0101318,1.01862,0,0,-32.78,0,0,787.033,9020243
0.0238647,-0.0088501,1.0047,0,0,-32.78,0,0,787.053,9020258
0.0236206,-0.00964355,1.01208,0,0,-32.78,0,0,787.073,9020288
0.0215454,-0.00891113,1.01532,-0.002,-0.001,-32.78,0,0,787.096,9020303
0.0245972,-0.0065918,1.02002,-0.001,0.002,-32.78,0,0,787.112,9020318
0.0257568,-0.00732422,1.02106,0,0.002,-32.78,0,0,787.132,9020348
0.0257568,-0.00732422,1.02106,0,0.002,-32.78,0,0,787.152,9020348
0.0257568,-0.00732422,1.02106,0,0.002,-32.78,0,0,787.172,9020348
0.0257568,-0.00732422,1.02106,0,0.002,-32.78,0,0,787.195,9020348
0.0230713,-0.0065918,1.0119,-0.002,0.001,-32.78,0,0,787.212,9020429
0.0252075,-0.00976562,1.02277,0.001,0,-32.78,0,0,787.233,9020439
0.0239258,-0.00695801,1.01666,-0.001,0.001,-32.78,0,0,787.252,9020468
0.0246582,-0.00939941,1.0163,0,0,-32.78,0,0,787.272,9020483
0.024292,-0.00769043,1.00891,0,0.001,-32.78,0,0,787.292,9020499
0.0220337,-0.00775146,1.01312,-0.002,0,-32.78,0,0,787.311,9020528
0.0265503,-0.0090332,1.01855,0.001,0.001,-32.78,0,0,787.332,9020543
0.0265503,-0.00695801,1.01373,0,0.003,-32.78,0,0,787.354,9020559
0.0231323,-0.00823975,1.01752,-0.001,0,-32.78,0,0,787.373,9020588
0.0232544,-0.00878906,1.01044,0,0,-32.78,0,0,787.393,9020603
0.0241089,-0.00891113,1.01978,0,0,-32.78,0,0,787.412,9020619
0.0240479,-0.0078125,1.01636,0,0.001,-32.78,0,0,787.432,9020648
0.0236816,-0.0088501,1.01495,0,0,-32.78,0,0,787.452,9020663
0.0210571,-0.0103149,1.01715,-0.002,-0.002,-32.78,0,0,787.472,9020679
0.0270996,-0.010376,1.01746,0.003,0,-32.78,0,0,787.492,9020708
0.0245361,-0.0088501,1.01514,0,0,-32.78,0,0,787.514,9020723
0.0220337,-0.00994873,1.01465,-0.001,-0.001,-32.78,0,0,787.532,9020739
0.0254517,-0.0120239,1.01331,0.002,-0.001,-32.78,0,0,787.561,9020768
0.0222778,-0.0108032,1.01843,0,-0.002,-32.78,0,0,787.572,9020783
0.0250854,-0.00976562,1.01746,0.001,0,-32.78,0,0,787.594,9020813
0.0254517,-0.0067749,1.01776,0,0.002,-32.78,0,0,787.612,9020828
0.0215454,-0.00616455,1.01361,-0.003,0.001,-32.78,0,0,787.635,9020843
0.022644,-0.00891113,1.0163,-0.001,0,-32.78,0,0,787.652,9020859
0.026001,-0.00646973,1.01697,0,0.003,-32.78,0,0,787.672,9020888
0.0217896,-0.0108643,1.01251,0,-0.002,-32.78,0,0,787.692,9020903
0.0238037,-0.0100098,1.02307,0,0,-32.78,0,0,787.713,9020919
0.0253906,-0.0106812,1.02283,0.001,0,-32.78,0,0,787.734,9020948
0.0227051,-0.0107422,1.01715,0,-0.001,-32.78,0,0,787.753,9020963
0.0231934,-0.012085,1.01343,0,-0.002,-32.78,0,0,787.771,9020979
0.0250854,-0.00866699,1.01953,0,0.001,-32.78,0,0,787.792,9021008
0.0200195,-0.00854492,1.01685,-0.003,-0.001,-32.78,0,0,787.812,9021023
0.0240479,-0.00909424,1.01465,0,0,-32.78,0,0,787.834,9021039
