Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00172411,-0.0859023,3.26772,-191.59,1750.97,292.557
2,0,-0.00178909,-0.0858793,3.26776,-191.615,1750.97,292.542
3,0,-0.00172115,-0.0858786,3.26775,-191.608,1750.96,292.575
4,0,-0.0018348,-0.0859952,3.26782,-191.602,1750.96,292.579
5,0,-0.00171089,-0.0856272,3.26773,-191.609,1750.98,292.547
6,0,-0.00181772,-0.0858153,3.2678,-191.61,1750.94,292.569
7,0,-0.00180537,-0.085738,3.26781,-191.597,1750.96,292.569
8,0,-0.00178714,-0.0856639,3.26784,-191.6,1750.98,292.551
9,0,-0.00175499,-0.0857284,3.26772,-191.619,1750.94,292.56
10,0,-0.00170506,-0.0860922,3.26782,-191.606,1750.97,292.57
11,0,-0.00177347,-0.0858216,3.26778,-191.599,1750.97,292.557
12,0,-0.00169372,-0.0857942,3.26775,-191.606,1750.94,292.55
13,0,-0.00170322,-0.0858888,3.26778,-191.61,1750.95,292.565
14,0,-0.00169356,-0.0858764,3.2678,-191.595,1750.97,292.572
15,0,-0.00168696,-0.0859941,3.26775,-191.604,1750.96,292.544
16,0,-0.00178845,-0.0856526,3.26777,-191.619,1750.95,292.561
17,0,-0.0017889,-0.0858998,3.26774,-191.6,1751,292.568
18,0,-0.00178275,-0.0860683,3.26781,-191.597,1750.94,292.562
19,0,-0.00177182,-0.0858449,3.26775,-191.612,1750.92,292.57
20,0,-0.00169092,-0.0858689,3.26777,-191.603,1750.98,292.557
21,0,-0.00172072,-0.0860213,3.2678,-191.605,1750.94,292.566
22,0,-0.00164912,-0.0858796,3.26775,-191.611,1750.95,292.568
23,0,-0.00177295,-0.0857913,3.26779,-191.606,1750.99,292.553
24,0,-0.00181751,-0.0856755,3.2678,-191.587,1750.95,292.591
25,0,-0.0018379,-0.0857937,3.26779,-191.599,1750.93,292.552
26,0,-0.00177979,-0.0859052,3.26781,-191.621,1750.99,292.541
27,0,-0.00177859,-0.085769,3.26776,-191.608,1750.96,292.571
28,0,-0.00171449,-0.085727,3.26779,-191.593,1750.93,292.571
29,0,-0.00171327,-0.0861093,3.26772,-191.613,1750.97,292.545
30,0,-0.00167852,-0.0858018,3.26774,-191.601,1750.96,292.575
31,0,-0.00184292,-0.0856646,3.26784,-191.595,1750.95,292.577
32,0,-0.00180868,-0.0857014,3.26772,-191.614,1750.97,292.531
33,0,-0.00167483,-0.0858627,3.26781,-191.609,1750.96,292.564
34,0,-0.00183737,-0.0858304,3.26786,-191.593,1750.95,292.574
35,0,-0.00164288,-0.0859951,3.26784,-191.606,1750.95,292.552
36,0,-0.0017406,-0.0860161,3.26776,-191.609,1750.97,292.564
37,0,-0.0016949,-0.08586,3.26775,-191.598,1750.96,292.563
