Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
90,0,-0.0166953,-0.0524843,2.66592,517.434,909.267,286.585
91,0,-0.0166871,-0.0525479,2.6659,517.44,909.283,286.541
92,0,-0.0166197,-0.052193,2.66588,517.413,909.253,286.53
93,0,-0.016723,-0.0524389,2.66596,517.438,909.261,286.585
94,0,-0.0166293,-0.0525058,2.66591,517.441,909.29,286.559
95,0,-0.0166029,-0.0523574,2.66591,517.413,909.286,286.536
96,0,-0.0165939,-0.0524098,2.66584,517.426,909.264,286.569
97,0,-0.0166806,-0.052354,2.66584,517.436,909.268,286.572
98,0,-0.0166217,-0.0522018,2.6659,517.428,909.274,286.546
99,0,-0.0166791,-0.0523591,2.66585,517.418,909.26,286.57
100,0,-0.0166656,-0.0523788,2.66592,517.425,909.267,286.56
101,0,-0.0167334,-0.0524881,2.66599,517.443,909.291,286.537
102,0,-0.0166088,-0.0523463,2.66586,517.435,909.242,286.558
103,0,-0.0166504,-0.0524555,2.6659,517.42,909.265,286.571
104,0,-0.0167144,-0.0526168,2.66587,517.431,909.303,286.553
105,0,-0.0167385,-0.0524679,2.66592,517.43,909.255,286.577
106,0,-0.0166261,-0.052389,2.66589,517.42,909.263,286.537
107,0,-0.0167425,-0.052501,2.66587,517.436,909.297,286.553
108,0,-0.0167404,-0.0525096,2.66595,517.438,909.263,286.578
109,0,-0.0165906,-0.052412,2.66586,517.417,909.264,286.554
110,0,-0.0167152,-0.0523212,2.66593,517.43,909.271,286.567
111,0,-0.0167256,-0.0525442,2.66589,517.45,909.254,286.56
112,0,-0.0166476,-0.052291,2.66588,517.421,909.271,286.546
113,0,-0.0165959,-0.0524993,2.66582,517.42,909.287,286.572
114,0,-0.0167409,-0.052479,2.66591,517.436,909.257,286.572
115,0,-0.0166646,-0.0526103,2.66593,517.432,909.255,286.543
116,0,-0.0166291,-0.0525224,2.66595,517.424,909.281,286.552
117,0,-0.0166487,-0.0524867,2.6659,517.427,909.24,286.583
118,0,-0.0166364,-0.0523285,2.66593,517.433,909.257,286.571
119,0,-0.016714,-0.0525747,2.66583,517.43,909.295,286.548
120,0,-0.0166759,-0.0524019,2.66595,517.427,909.251,286.568
121,0,-0.0166208,-0.0525889,2.66587,517.43,909.271,286.565
122,0,-0.0166393,-0.0524663,2.66585,517.431,909.308,286.554
123,0,-0.0167221,-0.0522744,2.66592,517.415,909.235,286.576
124,0,-0.0167124,-0.0525557,2.66587,517.431,909.244,286.56
125,0,-0.0165886,-0.0523383,2.66592,517.444,909.289,286.544
126,0,-0.0166308,-0.0523649,2.66593,517.423,909.247,286.572
127,0,-0.0167646,-0.0524006,2.66588,517.419,909.269,286.571
128,0,-0.0167356,-0.052397,2.6658,517.444,909.298,286.552
129,0,-0.0167275,-0.0525119,2.66596,517.434,909.242,286.563
130,0,-0.0167272,-0.052779,2.66588,517.423,909.251,286.565
131,0,-0.0166882,-0.0527324,2.66591,517.431,909.289,286.56
132,0,-0.0165618,-0.0524525,2.66587,517.427,909.263,286.557
133,0,-0.0165822,-0.0521707,2.66591,517.426,909.25,286.564
134,0,-0.0165904,-0.0526705,2.6659,517.433,909.279,286.555
135,0,-0.0166608,-0.0522974,2.66585,517.441,909.25,286.559
136,0,-0.0166753,-0.0525638,2.66588,517.422,909.269,286.57
137,0,-0.0166796,-0.0524311,2.66588,517.413,909.282,286.555
138,0,-0.016723,-0.0524004,2.66583,517.44,909.245,286.561
139,0,-0.0166886,-0.0524105,2.66594,517.439,909.268,286.563
140,0,-0.0166386,-0.0524171,2.6659,517.419,909.287,286.548
141,0,-0.0166506,-0.0527296,2.66592,517.421,909.27,286.565
142,0,-0.0167264,-0.052455,2.66586,517.433,909.274,286.562
143,0,-0.0167332,-0.0523658,2.66581,517.424,909.284,286.547
144,0,-0.0166995,-0.0525652,2.6659,517.427,909.25,286.57
145,0,-0.0165907,-0.0523851,2.66586,517.44,909.256,286.565
146,0,-0.0166651,-0.0524869,2.66592,517.418,909.288,286.539
147,0,-0.0165909,-0.0524429,2.66592,517.422,909.264,286.568
148,0,-0.0167011,-0.0525305,2.66587,517.438,909.265,286.556
149,0,-0.0165862,-0.0523924,2.6659,517.428,909.29,286.55
150,0,-0.0167362,-0.0524188,2.66585,517.427,909.26,286.588
151,0,-0.0166575,-0.0524507,2.66585,517.429,909.248,286.559
152,0,-0.0166396,-0.052667,2.66588,517.426,909.282,286.541
153,0,-0.016543,-0.0521348,2.6659,517.421,909.274,286.578
154,0,-0.0167011,-0.0523704,2.66591,517.419,909.257,286.574
155,0,-0.0166219,-0.0523299,2.66591,517.434,909.286,286.543
156,0,-0.016677,-0.0524649,2.66587,517.431,909.277,286.559
157,0,-0.0166879,-0.0525751,2.66586,517.426,909.259,286.569
