Objects
100
,,Global Angle phil_tag_0:phil_tag_0,,,,,,Global Angle phil_tag_14:phil_tag_14,,,,,,Global Angle phil_tag_16:phil_tag_16,,,,,,Global Angle phil_tag_20:phil_tag_20,,,,,,Global Angle phil_tag_24:phil_tag_24,,,,,,Global Angle phil_tag_30:phil_tag_30,,,,,,Global Angle phil_tag_32:phil_tag_32,,,,,,Global Angle phil_tag_36:phil_tag_36,,,,,,Global Angle phil_tag_40:phil_tag_40,,,,,,Global Angle phil_tag_44:phil_tag_44,,,,,,Global Angle phil_tag_4:phil_tag_4,,,,,,Global Angle phil_tag_8:phil_tag_8,,,,,,Global Angle phil_turtlebot:phil_turtlebot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
10,0,-0.0160346,0.00533507,0.00471737,921.276,-1222.25,244.608,-0.000597194,-0.000549295,0.00149828,-1329.49,-54.6666,125.259,0.00632201,0.0143018,0.00396138,-1298.11,455.495,218.677,0.00124554,-0.00279875,0.00143933,-1174.23,1195.97,101.481,0.00405754,-1.02608e-005,-0.00219404,-660.328,1902.33,116.454,0.000908495,0.00176729,-0.00108233,284.866,1895.52,185.522,0.00152862,-0.0017232,-0.0023056,951.149,1852.69,157.657,0.00082855,0.000789046,0.00235411,1657.55,1145.29,126.986,-0.000855524,0.000574572,-0.000342705,1598.86,272.89,141.082,0.00337956,0.00451416,0.00516581,1462.71,-696.614,160.385,0.000606126,0.000919663,0.00126997,96.4913,-1065.38,194.228,-0.00290083,0.0101812,-0.000503695,-886.814,-883.699,142.108,-0.0345989,0.0566232,2.74431,-747.366,625.042,445.536
11,0,-0.0163312,0.00543209,0.00474811,921.298,-1222.25,244.626,-0.000452184,-0.000482084,0.00119038,-1329.49,-54.6629,125.258,0.00612506,0.0141119,0.00396196,-1298.1,455.48,218.694,0.000637434,-0.00103989,0.00226513,-1174.09,1195.99,101.582,0.00408947,-0.000313108,-0.00235089,-660.276,1902.31,116.48,0.000641623,0.00153904,-0.0014498,284.928,1895.48,185.569,0.00143131,-0.00164047,-0.0022919,951.159,1852.65,157.68,0.000212127,0.000337477,0.00263418,1657.51,1145.44,127.052,-0.000216434,0.000511234,-0.000596222,1598.86,272.761,141.127,0.00384389,0.00410382,0.00501419,1462.72,-696.669,160.474,0.000639517,0.00027443,0.00105629,96.6058,-1065.35,194.209,-0.00294562,0.010146,-0.000426506,-886.776,-883.705,142.152,-0.0343985,0.0563112,2.74426,-747.352,625.024,445.566
12,0,-0.0162463,0.00509227,0.00489364,921.291,-1222.25,244.591,-0.00034531,-0.000544064,0.00115309,-1329.5,-54.6336,125.249,0.00620051,0.0138986,0.00379292,-1298.08,455.491,218.687,0.000689567,-0.00107888,0.00219235,-1174.06,1196.01,101.566,0.00410309,-0.000464861,-0.00250686,-660.269,1902.32,116.479,0.000863786,0.00178388,-0.000988132,284.915,1895.51,185.57,0.001476,-0.00173945,-0.00235343,951.178,1852.68,157.683,0.000854259,0.000780683,0.00245544,1657.56,1145.33,127.025,-0.000912365,0.000472625,-0.000399697,1598.86,272.881,141.129,0.00368718,0.00420767,0.00500952,1462.73,-696.66,160.479,0.000477438,0.000714121,0.00133615,96.559,-1065.37,194.234,-0.00288941,0.010105,-0.000410006,-886.766,-883.7,142.145,-0.0345031,0.0567434,2.74421,-747.347,625.047,445.558
13,0,-0.0161099,0.00530882,0.00477354,921.266,-1222.24,244.584,-0.000460553,-0.000546982,0.00121693,-1329.52,-54.6665,125.246,0.00609649,0.0142948,0.00387799,-1298.12,455.492,218.679,0.00111871,-0.00287556,0.0016361,-1174.23,1195.97,101.482,0.00417036,-9.51102e-005,-0.00223098,-660.327,1902.35,116.45,0.00085257,0.00177068,-0.00113439,284.883,1895.54,185.515,0.00167704,-0.00172023,-0.00211401,951.163,1852.68,157.649,0.000901744,0.000700494,0.00246746,1657.56,1145.29,126.964,-0.000866663,0.000491981,-0.000347769,1598.86,272.857,141.065,0.00365045,0.00446894,0.00520636,1462.72,-696.639,160.412,0.00058069,0.000921543,0.00124551,96.4804,-1065.38,194.185,-0.00295523,0.0102144,-0.000397536,-886.854,-883.714,142.114,-0.0346536,0.0568189,2.74431,-747.363,625.048,445.533
14,0,-0.0161643,0.00523015,0.00477858,921.286,-1222.24,244.606,-0.000481414,-0.000752342,0.00128971,-1329.48,-54.6746,125.249,0.00616265,0.0142096,0.00385242,-1298.12,455.496,218.672,0.000982979,-0.00282435,0.00171491,-1174.23,1195.98,101.489,0.00407778,-0.000123808,-0.00208339,-660.323,1902.35,116.446,0.00103634,0.00184029,-0.00100399,284.889,1895.54,185.513,0.00149565,-0.00172346,-0.0020673,951.166,1852.68,157.668,0.000887008,0.000761172,0.00240205,1657.54,1145.31,126.992,-0.000929426,0.000539938,-0.00040851,1598.84,272.882,141.076,0.0034032,0.00441385,0.00506645,1462.71,-696.594,160.363,0.000635936,0.000802832,0.00121103,96.4965,-1065.39,194.208,-0.00287349,0.0101779,-0.000448883,-886.838,-883.72,142.105,-0.0347187,0.0569991,2.74428,-747.371,625.05,445.535
15,0,-0.0160954,0.00517908,0.00491049,921.276,-1222.23,244.601,-0.000392163,-0.000599081,0.00114272,-1329.49,-54.6264,125.224,0.00623666,0.0142599,0.00377644,-1298.12,455.499,218.693,0.00106275,-0.00288945,0.00164697,-1174.22,1195.99,101.489,0.00411776,-0.000108822,-0.00216132,-660.302,1902.34,116.449,0.000923207,0.00167963,-0.00115638,284.885,1895.54,185.522,0.00164953,-0.00167991,-0.00204439,951.158,1852.7,157.661,0.000134148,0.000311265,0.00258852,1657.51,1145.45,127.025,-0.000762879,0.000522843,-0.000283996,1598.85,272.881,141.096,0.00374701,0.00407302,0.00495687,1462.72,-696.61,160.405,0.000592245,0.00046116,0.00109995,96.564,-1065.36,194.137,-0.00300329,0.0100539,-0.000459522,-886.817,-883.706,142.122,-0.0346228,0.0566861,2.74433,-747.36,625.043,445.54
16,0,-0.01623,0.00521663,0.00486479,921.287,-1222.25,244.61,-0.000434739,-0.0005556,0.00117362,-1329.48,-54.6726,125.263,0.00613237,0.0140775,0.00400696,-1298.1,455.486,218.688,0.00065295,-0.00103883,0.00222087,-1174.07,1196.02,101.59,0.00416651,-0.000203411,-0.00240853,-660.284,1902.32,116.48,0.000969196,0.00172906,-0.00114433,284.917,1895.5,185.548,0.00146983,-0.00171486,-0.00231973,951.158,1852.69,157.686,0.000154829,0.000356138,0.00259658,1657.5,1145.41,127.068,-0.000830713,0.000538962,-0.000478212,1598.87,272.879,141.128,0.00372855,0.00420011,0.00502843,1462.72,-696.667,160.493,0.000782968,0.000315346,0.000967005,96.5924,-1065.35,194.194,-0.00281097,0.0101049,-0.000566871,-886.785,-883.697,142.174,-0.034571,0.056803,2.74422,-747.354,625.021,445.559
17,0,-0.0162913,0.00536961,0.00477454,921.303,-1222.24,244.626,-0.000453856,-0.000738184,0.0010313,-1329.48,-54.6499,125.245,0.00648131,0.0141502,0.00212133,-1297.98,455.52,218.695,0.000702787,-0.000998181,0.00232767,-1174.07,1196,101.59,0.00416501,-0.000418671,-0.00238839,-660.274,1902.32,116.482,0.000837183,0.00164156,-0.00112324,284.892,1895.5,185.562,0.00141113,-0.00173135,-0.00229182,951.154,1852.67,157.687,0.00090052,0.000709333,0.00243756,1657.55,1145.29,127.036,-0.000946094,0.000517533,-0.000375424,1598.88,272.853,141.147,0.00398595,0.00426989,0.00513588,1462.72,-696.729,160.566,0.000663595,0.000763955,0.00120881,96.5408,-1065.39,194.27,-0.00291221,0.0100148,-0.000466179,-886.783,-883.712,142.16,-0.0346777,0.0571463,2.74428,-747.362,625.021,445.561
18,0,-0.0160953,0.00525484,0.00480923,921.292,-1222.24,244.597,-0.000357432,-0.0010978,0.000946065,-1329.49,-54.6482,125.213,0.00635962,0.0141828,0.00370503,-1298.1,455.507,218.647,0.000703151,-0.000885942,0.00226319,-1174.07,1196.01,101.541,0.00405321,-0.000248329,-0.00230068,-660.3,1902.34,116.468,0.000820132,0.00166365,-0.00128241,284.893,1895.54,185.533,0.00181856,-0.00194276,-0.00245629,951.137,1852.7,157.679,0.000869444,0.000676732,0.00244188,1657.56,1145.34,126.989,-0.000801094,0.000546386,-0.000322572,1598.86,272.887,141.072,0.00365599,0.00412288,0.00487997,1462.74,-696.622,160.417,0.000749955,0.000870986,0.00111207,96.5317,-1065.39,194.187,-0.00298784,0.0101854,-0.000561009,-886.814,-883.705,142.069,-0.0345476,0.0566837,2.74427,-747.365,625.037,445.534
19,0,-0.0160178,0.0051898,0.00480025,921.277,-1222.24,244.586,-0.00042503,-0.00079566,0.0011026,-1329.51,-54.6404,125.242,0.00628552,0.0142073,0.0038389,-1298.11,455.509,218.644,0.00110239,-0.00272314,0.00167309,-1174.23,1195.99,101.458,0.00407022,-0.000130424,-0.00210507,-660.316,1902.35,116.458,0.00086102,0.00167116,-0.00118332,284.876,1895.54,185.521,0.00173661,-0.00183063,-0.00237081,951.173,1852.69,157.662,0.000839316,0.000748091,0.00243842,1657.54,1145.33,126.975,-0.000934385,0.000521155,-0.0004463,1598.85,272.902,141.063,0.00347152,0.00440063,0.00517391,1462.71,-696.581,160.32,0.000670305,0.00105231,0.00125271,96.5212,-1065.4,194.175,-0.00299772,0.0102179,-0.000413019,-886.804,-883.699,142.083,-0.0344894,0.056381,2.74435,-747.377,625.035,445.52
