accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.13,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.146,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.166,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.186,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.21,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.227,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.258,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.267,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.286,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.306,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.326,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.346,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.366,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.404,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.43,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.433,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.447,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.468,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.486,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.506,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.526,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.546,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.565,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.586,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.606,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.627,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.646,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.666,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.687,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.705,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.725,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.745,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.766,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.8,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.806,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.826,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.847,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.866,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.888,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.906,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.926,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.946,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.965,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,186.985,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.005,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.025,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.047,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.066,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.087,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.107,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.126,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.146,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.166,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.186,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.206,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.226,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.245,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.265,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.286,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.306,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.327,0
     0,0,0,0,0,0,0,0,0,0,0,-0.0078125,-0.00787402,187.348,0
     0,0,0,0,0,0,0,0,0,0,0,-0.03125,-0.00787402,187.366,0
     0,0,0,0,0,0,0,0,0,0,0,-0.09375,-0.00787402,187.387,0
     0,0,0,0,0,0,0,0,0,0,0,-0.15625,0.109375,187.407,0
     0,0,0,0,0,0,0,0,0,0,0,-0.28125,0.296875,187.426,0
     0,0,0,0,0,0,0,0,0,27.4396,-53.8723,-0.375,0.445312,187.447,0
     0,0,0,0,0,0,0,0,0,61.1355,-95.3089,-0.5,0.617188,187.466,0
     0,0,0,0,0,0,0,0,0,128.642,-206.635,-0.554688,0.695312,187.486,0
     0,0,0,0,0,0,0,0,0,218.802,-376.046,-0.59375,0.71875,187.506,0
     0,0,0,0,0,0,0,0,0,336.31,-338.811,-0.601562,0.726562,187.526,0
     0,0,0,0,0,0,0,0,0,312.808,-446.937,-0.609375,0.757812,187.546,0
     0,0,0,0,0,0,0,0,0,393.507,-530.687,-0.625,0.789062,187.565,0
     0,0,0,0,0,0,0,0,0,414.448,-551.086,-0.632812,0.8125,187.585,0
     0,0,0,0,0,0,0,0,0,526.87,-545.39,-0.632812,0.820312,187.605,0
     0,0,0,0,0,0,0,0,0,549.224,-595.664,-0.632812,0.828125,187.626,0
     0,0,0,0,0,0,0,0,0,594.248,-792.33,-0.632812,0.828125,187.646,0
     0,0,0,0,0,0,0,0,0,721.293,-710.732,-0.632812,0.835938,187.666,0
     0,0,0,0,0,0,0,0,0,661.179,-787.96,-0.632812,0.835938,187.703,0
     0,0,0,0,0,0,0,0,0,692.281,-800.512,-0.554688,0.835938,187.718,0
     0,0,0,0,0,0,0,0,0,753.608,-875.887,-0.453125,0.84375,187.726,0
     0,0,0,0,0,0,0,0,0,689.655,-902.079,-0.234375,0.882812,187.746,0
     0,0,0,0,0,0,0,0,0,726.375,-946.208,-0.09375,0.914062,187.766,0
     0,0,0,0,0,0,0,0,0,451.08,-1066.61,-0.0078125,0.960938,187.785,0
     0,0,0,0,0,0,0,0,0,668.114,-979.72,-0.0078125,0.984375,187.806,0
     0,0,0,0,0,0,0,0,0,714.669,-1029.81,-0.0078125,0.992188,187.826,0
     0,0,0,0,0,0,0,0,0,706.489,-1137.72,-0.0078125,0.992188,187.846,0
